"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"1105340","Adm Sir P A Jones","OF-9","First Sea Lord / Chief of Naval Staff","The Royal Navy's professional head responsible to Secretary of State for the fighting effectiveness, efficiency and morale of the Naval Service; a member of the Defence Council supporting Secretary of State in the management of the Armed Forces.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","XX","1007730039","1.00","175000","179999","","Military","","1"
"1933859","V Adm B J Key","OF-8","Fleet Commander","Has full command of all deployable Fleet units including aviation, Royal Fleet Auxilliary and the Royal Marines.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1105340","0","1.00","135000","139999","","Military","","1"
"1942344","V Adm S J Woodcock","OF-8","Second Sea Lord / Deputy Chief of Naval Staff","Second Sea Lord is responsible for the delivery of the Naval Service’s current and future personnel, equipment and infrastructure.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1105340","0","1.00","145000","149999","","Military","","1"
"155423","Colin Evans","SCS2","Finance Director (Navy)","The Finance Director is responsible for Management and decision support relating to Navy Command's delegated budget; Delivery of the programming function and Portfolio Office; Implementation of civilian HR policy and representation of civilian workforce dimensions in strategic decision making; Conduct of Ministerial and Parliamentary business, corporate communications and management of the Command Secretariat","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1105340","0","1.00","110000","114999","","Finance","","1"
"1105390","R Adm N W Hine","OF-7","Assistant Chief of Naval Staff (Policy)","On behalf of the First Sea Lord and through the Admiralty and Navy Boards, ACNS (Pol) is responsible for the direction and development of strategic policy and strategy for the Royal Navy, and for providing high level guidance and prioritisation to the sin","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1105340","0","1.00","115000","119999","","Military","","1"
"1079272","R Adm A J Burton","OF-7","Commander UK Maritime Forces","The Royal Navy’s 2* formation level commander, providing a rapidly deployable maritime, amphibious, joint, coalition or national contingent headquarters staff, and responsible for generating the Royal Navy’s two 1* deployable commanders (COMUKTG and DCMF)","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1933859","0","1.00","115000","119999","","Military","","1"
"1082197","Maj Gen R A Magowan","OF-7","Commander UK Amphibious Forces / Commandant General Royal Marines","The Commander of the UK Amphibious Forces leads a rapidly deployable amphibious land, maritime, joint or national contingent headquarters staff that is currently the Royal Navy's standing 2* contingency formation headquarters. Commandant General Royal Mar","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1933859","0","1.00","115000","119999","","Military","","1"
"1720768","R Adm R K Tarrant","OF-7","Commander Maritime Operations","Commander Operations has three broad areas of responsibility; on behalf of Navy Commander he exercises operational command over all operational Fleet units worldwide, including Royal Marines, outside the PJHQ Joint Operations Area. In addition, he is Rear","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1933859","0","1.00","120000","124999","","Military","","1"
"1125222","R Adm K E Blount","OF-7","Assistant Chief of Naval Staff (Aviation and Carriers)","Responsible for delivering aviation Force Elements at Readiness (including all Royal Navy fixed and rotary wing assets, and the two Naval Air Stations) in accordance with the Royal Navy plan and arising, contingent events.  On behalf of Fleet Commander, h","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1942344","0","1.00","115000","119999","","Military","","1"
"1119941","R Adm P Bennett","OF-7","Assistant Chief of Naval Staff (Capability)","Chairman of the Maritime Capability Board responsible for planning and delivery of the majority of future Maritime capabilities on behalf of the First Sea Lord.  He works closely with FD(N), ACNS (Support), ACNS (Aviation and Carriers), and Head Office Di","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1942344","0","1.00","120000","124999","","Military","","1"
"1116716","R Adm S P Williams","OF-7","Assistant Chief of Naval Staff (Personnel) / Naval Secretary / Flag Officer Reserves","Responsible for the sustainable delivery of sufficient, capable and motivated personnel to the Naval Service in support of Defence Outcomes. The Admiral is accountable  for all aspects (non-operational) of Personnel and Reserve Personnel within the Naval Service. As Naval Secretary he provides First Sea Lord with advice on all matters relating to Flag and General Officers' appointing.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1942344","0","1.00","120000","124999","","Military","","1"
"1698119","R Adm R Stokes","OF-7","Assistant Chief of Naval Staff (Support)","ACNS(Spt) (supported by ACNS(A&C) for AV/CS) is responsible to the Fleet Commander for the integrated Force Generation of all RN/RM forces and units across all DLODs as directed by the resourced Command Plan and agreed with Operational Commanders. In this","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1942344","0","1.00","115000","119999","","Military","","1"
"1860494","R Adm J S Weale","OF-7","Assistant Chief of Naval Staff (Submarines) / Flag Officer Scotland and Northern Ireland","The senior Royal Navy Representative within Scotland and Northern Ireland liaising with the Scottish government and NI Assembly on Naval issues.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1942344","0","1.00","115000","119999","","Military","","1"
"1083930","R Adm J R H Clink","OF-7","Assistant Chief of Naval Staff (Training) / Flag Officer Sea Training","Commands the training for the Royal Navy. This comprises all Naval Training including, for individuals: initial generic Naval Training for Officers and Ratings; initial Career/Professional training prior to employment; career continuation and promotion tr","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1933859","0","1.00","115000","119999","","Military","","1"
"1913148","R Adm C R S Gardner","OF-7","Assistant Chief of Naval Staff (Ships)","Responsible for ensuring that DD/FF, SSN, SSBN, MW and HM vessels are generated fit for task through integration of all the Lines of Development.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1942344","0","1.00","115000","119999","","Military","","1"
"1370293","The Rev I J Wheatley","OF-7","Chaplain of the Fleet","Responsible to the First Sea Lord for provision of a Naval Chaplaincy Service, ensuring the spiritual and pastoral needs of all Service personnel, including those of the main World Faiths and those of none, are met.  He is responsible for enhancing the Mo","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1942344","0","1.00","100000","104999","","Military","","1"
"157333","N/D","SCS1","Command Secretary","Responsible for the delivery the Department of State function of accountability to Parliament and public with repsect to Naval Service issues including management and improvement of the reputation of the Royal Navy","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","155423","0","1.00","0","0","","Other","","1"
"1105593","N/D","OF-6","Commodore Naval Staff","Leads the Naval Staff Directorate in providing support to First Sea Lord, ACNS(Policy), and the Navy Board; including the development of strategy and policy, and the delivery of strategic level engagement across Defence, including internationally.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1105390","0","1.00","0","0","","Military","","1"
"1080848","N/D","OF-6","Commander Amphibious Task Group","COMUKTG is the high readiness 1* Commander for the Responsive Force Task Group (RFTG), the RN's deployable scaleable maritime task group.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1079272","0","1.00","0","0","","Military","","1"
"1751838","N/D","OF-6","Commander Portsmouth Flotilla","Navy Command HQ's representative on the Waterfront in Portsmouth. Responsible for promoting operational capability through provision of clear guidance, leadership and support to the Portsmouth flotilla and diving squadrons and to provide local engineering","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1720768","0","1.00","0","0","","Military","","1"
"1726762","N/D","OF-6","Commander Devonport Flotilla and Deputy Rear Admiral Submarines","Navy Command HQ's representative on the Waterfront in Devonport tasked to optimise and assure the Force Generation and operational capability of all units within the Devonport Flotilla as well as act as their Administrative authority.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1720768","0","1.00","0","0","","Military","","1"
"1738136","N/D","OF-6","Commander Faslane Flotilla","Command of the Faslane Flotilla which consists of submarines, four VANGUARD Class SSBNs (providing the UK National deterrent), one ASTUTE Class SSN (three more currently being built in Barrow), seven Mine Countermeasures Vessels of the First MCM Squadron","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1720768","0","1.00","0","0","","Military","","1"
"1127695","N/D","OF-6","Commander 3 Commando Brigade Royal Marines","Command 3 Commando Brigade Royal Marines on operations and in peacetime (including force development and generation).","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1720768","0","1.00","0","0","","Military","","1"
"1120354","N/D","OF-6","Assistant Chief of Staff Carrier Strike and Aviation","The Carrier Strike and Aviation Division is responsible for developing integrated and cost-efffective aviation capability that complements and enhances other single-service, Joint and multi-national capabilities to deliver war-winning effect.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1125222","0","1.00","0","0","","Military","","1"
"1105835","N/D","OF-6","Commanding Officer Royal Naval Air Station Yeovilton","Commands the Royal Naval Air Station Yeovilton (HMS HERON), which is a diverse and complex Air Station hosting some 4300 Service and Civilian personnel and over 100 operational aircraft.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1125222","0","1.00","0","0","","Military","","1"
"1716891","N/D","OF-6","Assistant Chief of Staff Warfare","Coordinates the cross cutting issues regarding the integration and development of the capability, tactics and procedures to make sure that the war fighting edge of the Royal Navy is sustained.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1119941","0","1.00","0","0","","Military","","1"
"155095","N/D","SCS1","Commodore Royal Fleet Auxiliary and Assistant Chief of Staff Afloat Support","Head of Service of the Royal Fleet Auxiliary (RFA), responsible for recruitment and management of 2000 RFA employees and thirteen ships. Head of the MOD Maritime Specialist Service and senior MOD shipping Subject Matter Expert.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1913148","0","1.00","0","0","","Military","","1"
"1716271","N/D","OF-6","Assistant Chief of Staff Logistics and Infrastruscture","Manages the current and articulates the future logistic sustainability requirement for the maritime environment.  Leads on behalf of the Navy Board for both the Logistics and Infrastructure lines of development working within the Capability Division.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1698119","0","1.00","0","0","","Military","","1"
"1618032","N/D","OF-6","Assistant Chief of Staff Land and Littoral Manoeuvre and Deputy Commandant General Royal Marines","Manages the development and delivery of Land and Littoral Manoeuvre capability with the Navy Command Headquarters, supporting the MOD in capability management. Acts as deputy to Commandant General Royal Marines.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1082197","0","1.00","0","0","","Military","","1"
"1900623","N/D","OF-6","Assistant Chief of Staff Ships","Responsible for capability development of Frigates; Destroyers; Mine Warfare, Patrol & Hydrographics Platforms; and Submarines.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1913148","0","1.00","0","0","","Military","","1"
"1715692","N/D","OF-6","Assistant Chief of Staff Information Warfare","The Information Warfare Staff provides an integrated team that deals with issues ranging from MoD strategy to the detail of support to Front Line Units engaged in operations.  This responsibility spans Information Magement, Networked C5ISTAR, Infrastructure Projects ashore and afloat and a multitude of tasks contributing to Fleet Operational Capability","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1119941","0","1.00","0","0","","Military","","1"
"1121945","N/D","OF-6","Assistant Chief of Staff Resources and Plans","Supports the Finance Director in delivering the Naval Service contribution to Defence Objectives whilst remaining within the bounds of legal, political, financial and regulatory authorities.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","155423","0","1.00","0","0","","Military","","1"
"1126447","N/D","OF-6","Commodore Naval Personnel Strategy","Responsible for the development, coordination and application of force generation and force development manpower strategies and policies; their management across the Naval Service and their coherence with defence manpower strategies.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1116716","0","1.00","0","0","","Military","","1"
"1396823","N/D","OF-6","Commodore Naval Personnel","Enables sustained, responsive delivery of sufficient, suitably trained, appropriately promoted, well motivated Royal Navy, Royal Marine, Royal Fleet Auxiliary and Reserves to meet the Defence manning requirements, including short notice augmentation","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1116716","0","1.00","0","0","","Military","","1"
"1710845","N/D","OF-6","Naval Assistant","Responsible for Career Managing a 'plot' which consists of all 1* Officers, Captains RN and Colonels RM; this involves interaction with around 365 senior officers. He represents the views of his plot on the assigning process and any other issues with 1SL.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1116716","0","1.00","0","0","","Military","","1"
"1125974","N/D","OF-6","Assistant Chief of Staff Medical / Head of the Royal Naval Medical Service","Ensures the timely delivery of properly equipped, suitably trained and experienced personnel to provide the medical component of Royal Navy operational capability both for current and future force requirements.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1116716","0","1.00","0","0","","Military","","1"
"1716806","N/D","OF-6","Commodore Naval Legal Services","Responsible, as the Royal Navy's senior lawyer, for the development, coordination and organisation of legal services within the Royal Navy to ensure the provision of timely, accurate and appropriate legal advice.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1116716","0","1.00","0","0","","Military","","1"
"1639793","N/D","OF-6","Assistant Chief of Staff Training / Deputy Flag Officer Sea Training","Navy Command Headquarter 1* lead for the governance, strategy and policy for Individual and Collective Training and Education across the Naval Service ensuring that delivery of training achieves, maintains, and assures the capabilities, readiness and perf","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1083930","0","1.00","0","0","","Military","","1"
"1748252","N/D","OF-6","Commanding Officer Maritime Warfare School and Commander Operational Training","Commands over 1000 Royal Navy personnel and a similar number of civilians in units across the UK providing training in warfare, weapon engineering, diving, Physical Training, CBRNDC, as well as fire-fighting and First Aid","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1083930","0","1.00","0","0","","Military","","1"
"1735057","N/D","OF-6","Commander Core Naval Training","Has oversight and responsibility for all Phase 1 training undertaken at Britannia Royal Naval College, HMS RALEIGH and for all phases of training undertaken at the Commando Training Centre Lympstone.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1083930","0","1.00","0","0","","Military","","1"
"1964493","N/D","OF-6","Commander UK Carrier Strike Group and Deputy Commander Maritime Forces","One of the Royal Navy's two 1* deployable commanders providing a contingent scalable staff for emergent national or coalition command appointments. Oversight for training and validation of UK deploying 1* commanders.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1079272","0","1.00","0","0","","Military","","1"
"1725072","N/D","OF-6","Assistant Chief of Staff Maritime Capability","Directs the output of the Maritime Capability area to deliver an effective, coherent, full spectrum maritime capability, efficiently delivered and aligned to strategy.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1119941","0","1.00","0","0","","Military","","1"
"1103327","N/D","OF-6","Commodore Maritime Reserves","Leads the Royal Navy and Royal Marines Reserves, and delivers highly motivated, trained personnel to deliver a range of capabilities (eg medical, intelligence, air, media operations, CIS, logistics, civil military aid, force protection, and infantry)","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1116716","0","1.00","0","0","","Military","","1"
"1795287","N/D","OF-6","Assistant Chief of Staff Integrated Change Programme","Accountable to Chief of Staff Integrated Change Programme for the Development, Delivery and Implementation of the Navy Command Integrated Change Programme, encompassing Defence reform, Acquisition Reform and Organisational Design.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1119941","0","1.00","0","0","","Military","","1"
"1779291","N/D","OF-6","Commander Portsmouth Naval Base","Portsmouth Naval Base is the home of almost two-thirds of the Royal Navy's surface ships, including the current carriers, Type 45, Type 42, Hunt-class mine hunters, and half of the Type 23 fleet; and will be the home of the Queen Elizabeth Class.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1698119","0","1.00","0","0","","Military","","1"
"1779364","N/D","OF-6","Commander Clyde Naval Base","Clyde Naval Base comprises the Faslane Naval Base, the Royal Navy Armament Depot Coulport, HMS Caledonia at Rosyth, the Navy Buildings at Greenock and a number of military ranges.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1698119","0","1.00","0","0","","Military","","1"
"1779322","N/D","OF-6","Commander Devonport Naval Base","Devonport Naval Base is home to the Royal Navy’s large amphibious ships, the Hydrographic Surveying Squadron, Trafalgar Class submarines and approximately two thirds of the frigate force. It is also the principal base for Flag Officer Sea Training.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1698119","0","1.00","0","0","","Military","","1"
"1956811","N/D","OF-6","Head of Royal Navy Communications","The principal advisor to 1SL and the Navy Board on communications issues, responsible for delivering the RN Communications Strategy, managing RN communications delivery and leading on the overall approach to RN image and reputation.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1105390","0","1.00","0","0","","Military","","1"
"1853258","N/D","OF-6","Assistant Chief of Staff Engineering Support","Responsible for the Engineering Support Division, which entails the overseeing of Project Faraday and the Support Improvement Plan; aside from this he is responsible for Naval Bases and OFDs. In conjunction with this role he is also Deputy Naval Engineering Officer","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1698119","0","1.00","0","0","","Military","","1"
"209418","N/D","SCS1","Deputy Finance Director","Responsible for the financial management of Navy Command, specifically in light of the significant increase in delegated responsibilities for the TLB.  He is deputy to the Finance Director (Navy) on all matters requiring professional finance advice and the Head of the Navy Command Finance Team.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","155423","0","1.00","0","0","","Finance","","1"
"1853791","N/D","OF-6","Commodore Regional Forces","Responsible for the coordination of the output and activities of the 4 UK geographical naval regional commands.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1105390","0","1.00","0","0","","Military","","1"
"213916","N/D","SCS1","Head of Navy Effectiveness and Strategy Team","Head of a multidisciplinary team, with policy, commercial and financial expertise who conduct projects on behalf of FD(N) and ACNS(Pol).","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","155423","0","1.00","0","0","","Finance","","1"
"1966770","N/D","OF-6","Navy Safety Director","Working within the Navy Safety Centre, responsible for safety strategy, governance, organisational learning, training and education.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1119941","0","1.00","0","0","","Military","","1"
"1507415","N/D","OF-6","Commanding Officer HMS Queen Elizabeth","Responsible for the safe direction and management of all tasks and functions of the HMS Queen Elizabeth aircraft carrier and her company.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1913148","0","1.00","0","0","","Military","","1"
"1900276","N/D","OF-6","T26 Programme Director","The Type 26 Global Combat Ship will replace the Type 23 frigate as the workhorse of the Fleet, undertaking the Royal Navy's three core roles of warfighting, maritime security and international engagement.","Ministry of Defence","Ministry of Defence","Navy Command","02392 628695","NAVYSEC-FOIMAILBOX@MOD.UK","1913148","0","1.00","0","0","","Military","","1"
