Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (œ)",Total Cost of Use of Official Secure Car,Booked through
"Arnott, Dr. Robert Henry",01/07/2015,,,LHR T2 to hotel (HS to Paris),Taxis,,,,10.00,,
"Arnott, Dr. Robert Henry",01/07/2015,,,Calais JD,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,17.50,,
"Arnott, Dr. Robert Henry",01/07/2015,,,Calais JD - HS visit,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,4.50,,
"Arnott, Dr. Robert Henry",01/07/2015,,London Heathrow,EXTERNAL MEETING,,,Hotel Room,,81.89,,Redfern
"Campbell, Ms. Mandie Jane",01/07/2015,,,Meeting at Canada House,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,3.00,,
"Cunningham, Mr. Michael Bernard",01/07/2015,,London Euston,INTERNAL MEETING,Rail,Standard,,,207.78,,Redfern
"Martin, Mr. Ian Richard",01/07/2015,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.67,,Redfern
"Montgomery, Sir Charles Percival",01/07/2015,,,London Underground and Overland from office to London City Airport using TES contactless card for visit to The Netherlands.,"T&S - Planes, Trains and Automobiles",,,,2.80,,
"Montgomery, Sir Charles Percival",01/07/2015,,,Lunch on way to Netherlands for work visit,T&S - Subsistence,,,,15.10,,
"Montgomery, Sir Charles Percival",01/07/2015,,,Refreshments on journey London - The Hague. Contactless payment so no receipt.,T&S - Subsistence,,,,3.78,,
"Montgomery, Sir Charles Percival",01/07/2015,,Rotterdam,CONFERENCE/EVENT,Air Tickets,Economy,,,320.76,,Redfern
"Morrison, Mr. Paul Noble Wilson",01/07/2015,,London Euston,INTERNAL MEETING,Rail,Standard,,,31.15,,Redfern
"Otter, Mr. Stephen Anthony",01/07/2015,,Exeter St Davids,EXTERNAL MEETING,Rail,Standard,,,77.02,,Redfern
"Webb, Mr. Stephen",01/07/2015,,,Durham station to hotel,Taxis,,,,10.00,,
"Wilkinson, Miss Sarah Fay",01/07/2015,,Durham,INTERNAL MEETING,Rail,Standard,,,107.84,,Redfern
"Wilkinson, Miss Sarah Fay",01/07/2015,,Newcastle,EXTERNAL MEETING,,,Hotel Room,,152.31,,Redfern
"Wilkinson, Miss Sarah Fay",01/07/2015,,Sheffield,INTERNAL MEETING,Rail,Standard,,,49.29,,Redfern
"Arnott, Dr. Robert Henry",02/07/2015,,,W'loo to Padd (HS to Paris),Taxis,,,,20.00,,
"Arnott, Dr. Robert Henry",02/07/2015,,,Padd to Ref Club (HS to Paris),Taxis,,,,20.00,,
"Arnott, Dr. Robert Henry",02/07/2015,,,Calais JD - HS to Paris,T&S - Subsistence,,,,15.05,,
"Arnott, Dr. Robert Henry",02/07/2015,,,Calais JD - HS Paris,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,21.40,,
"Campbell, Ms. Mandie Jane",02/07/2015,,,Acc by Sarah Rapson. Reception at US Ambassadors,Taxis,,,,25.00,,
"Martin, Mr. Ian Richard",02/07/2015,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.67,,Redfern
"Montgomery, Sir Charles Percival",02/07/2015,,,London City to Waterloo on Overland and Underground following work visit to The Netherlands.,"T&S - Planes, Trains and Automobiles",,,,2.80,,
"Montgomery, Sir Charles Percival",02/07/2015,,,Refreshment whilst travelling from work visit to The Netherlands using TES contactless card,"T&S - Planes, Trains and Automobiles",,,,2.94,,
"Montgomery, Sir Charles Percival",02/07/2015,,,Refreshment upon arrival at The Hague.,T&S - Subsistence,,,,3.35,,
"Montgomery, Sir Charles Percival",02/07/2015,,,Refreshments on journey The Hague - London. Contactless payment so no receipt.,T&S - Subsistence,,,,2.94,,
"Otter, Mr. Stephen Anthony",02/07/2015,,Exeter St Davids,EXTERNAL MEETING,Rail,Standard,,,34.08,,Redfern
"Otter, Mr. Stephen Anthony",02/07/2015,,London Paddington,INTERNAL MEETING,Rail,Standard,,,55.55,,Redfern
"Pratt, Mr. Alan Palaic",02/07/2015,,,Return home from station after late official function (too late/dark to walk),Taxis,,,,6.50,,
"Sutton, Mr. Kenneth David",02/07/2015,,,Working lunch for meeting,Miscellaneous,,,,11.09,,
"Sutton, Mr. Kenneth David",02/07/2015,,,Unable to use public transport,Taxis,,,,5.00,,
"Sutton, Mr. Kenneth David",02/07/2015,,Liverpool Lime Street,EXTERNAL MEETING,Rail,Standard,,,302.96,,Redfern
"Sutton, Mr. Kenneth David",02/07/2015,,London St Pancras,EXTERNAL MEETING,Rail,Standard,,,14.56,,Redfern
"Thomson, Mr. Mark David",02/07/2015,,,Meeting with Mike Bracken in Holburn,Taxis,,,,10.50,,
"Webb, Mr. Stephen",02/07/2015,,,Durham hotel to police HQ,Taxis,,,,10.00,,
"Webb, Mr. Stephen",02/07/2015,,,police HQ to hotel,Taxis,,,,10.00,,
"Wood, Mr. David Leonard",02/07/2015,,,Travel to event at US Ambassador's residence,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,2.40,,
"Ind, Mr. Hugh Timothy",03/07/2015,,,Visit to Yarl's Wood IRC,Taxis,,,,13.00,,
"Ind, Mr. Hugh Timothy",03/07/2015,,,Visit to Yarl's Wood IRC,Taxis,,,,11.20,,
"Ind, Mr. Hugh Timothy",03/07/2015,,Bedford Station,EXTERNAL MEETING,Rail,Standard,,,46.51,,Redfern
"Martin, Mr. Ian Richard",03/07/2015,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.67,,Redfern
"Pratt, Mr. Alan Palaic",03/07/2015,,,Meals taken on way to and from Manchester meetings. No food provided. Does not cover full cost.,T&S - Subsistence,,,,9.30,,
"Pratt, Mr. Alan Palaic",03/07/2015,,,Taxi from nerest station to meeting venue,Taxis,,,,7.00,,
"Pratt, Mr. Alan Palaic",03/07/2015,,,return taxi,Taxis,,,,8.00,,
"Pratt, Mr. Alan Palaic",03/07/2015,,London Euston,CONFERENCE/EVENT,Rail,Standard,,,39.78,,Redfern
"Pratt, Mr. Alan Palaic",03/07/2015,,Manchester Airport,CONFERENCE/EVENT,Rail,Standard,,,124.06,,Redfern
"Rapson, Ms. Sarah Oonagh",03/07/2015,,,taxi on visit,Taxis,,,,24.00,,
"Sutton, Mr. Kenneth David",03/07/2015,,Folkestone West,EXTERNAL MEETING,Rail,Standard,,,44.42,,Redfern
"Webb, Mr. Stephen",03/07/2015,,,hotel to police HQ,Taxis,,,,10.00,,
"Webb, Mr. Stephen",03/07/2015,,,police HQ to station,Taxis,,,,5.00,,
"Wilkinson, Miss Sarah Fay",03/07/2015,,London Kings Cross,EXTERNAL MEETING,Rail,Standard,,,63.68,,Redfern
"Ind, Mr. Hugh Timothy",05/07/2015,,,Taxi to Airport - visit to Nigeria,Taxis,,,,35.00,,
"Ind, Mr. Hugh Timothy",05/07/2015,,Abuja,EXTERNAL MEETING,Air Tickets,First,,,"5,644.84",,Redfern
"Cunningham, Mr. Michael Bernard",06/07/2015,,London Euston,INTERNAL MEETING,Rail,Standard,,,207.78,,Redfern
"Cunningham, Mr. Michael Bernard",06/07/2015,,London Heathrow,INTERNAL MEETING,,,Hotel Standard- One- King Size,,242.15,,Redfern
"Cunningham, Mr. Michael Bernard",06/07/2015,,,INTERNAL MEETING,,,Hotel Fee ,,1.41,,Redfern
"Martin, Mr. Ian Richard",06/07/2015,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.67,,Redfern
"O'brien, Mr. John",06/07/2015,,,This payment was to secure Hotel Accommodation for an Inquiry panel member at very short notice. Suitable accommodation was not available via the Redfearn website.,T&S - Hotels,,,,452.00,,
"Otter, Mr. Stephen Anthony",06/07/2015,,London Paddington,INTERNAL MEETING,Rail,Standard,,,106.38,,Redfern
"Spencer, Ms. Hilary Jane Clements",06/07/2015,,,Taxi,T&S - Hotels,,,,10.00,,
"Sutton, Mr. Kenneth David",06/07/2015,,,Unable to use public transport,Taxis,,,,20.00,,
"Sutton, Mr. Kenneth David",06/07/2015,,,Unable to use public transport,Taxis,,,,20.00,,
"Sutton, Mr. Kenneth David",06/07/2015,,London Zones 1-6,EXTERNAL MEETING,Rail,Standard,,,18.02,,Redfern
"Driskell, Mr. Norman",07/07/2015,,,Visit to HS2.,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,7.20,,
"Eastaugh, Mr. Tony",07/07/2015,,Manchester,CONFERENCE/EVENT,,,Hotel Room,,81.89,,Redfern
"Eastaugh, Mr. Tony",07/07/2015,,Manchester Airport,CONFERENCE/EVENT,Rail,Standard,,,44.66,,Redfern
"Martin, Mr. Ian Richard",07/07/2015,,ZONE U12* LONDN,INTERNAL MEETING,Rail,Standard,,,38.67,,Redfern
"Morrison, Mr. Paul Noble Wilson",07/07/2015,,Sheffield,INTERNAL MEETING,Rail,Standard,,,76.05,,Redfern
"Otter, Mr. Stephen Anthony",07/07/2015,,Exeter St Davids,EXTERNAL MEETING,Rail,Standard,,,60.91,,Redfern
"Parsons, Mr. Michael John",07/07/2015,,West Drayton,EXTERNAL MEETING,Rail,Standard,,,13.43,,Redfern
"Sutton, Mr. Kenneth David",07/07/2015,,,Working lunch on diversity,Miscellaneous,,,,56.95,,
"Sutton, Mr. Kenneth David",07/07/2015,,,EXTERNAL MEETING,,,Hotel Fee ,,1.41,,Redfern
"Eastaugh, Mr. Tony",08/07/2015,,Glasgow,CONFERENCE/EVENT,,,Hotel Room,,76.86,,Redfern
"Eastaugh, Mr. Tony",08/07/2015,,Glasgow Central,CONFERENCE/EVENT,Rail,Standard,,,21.63,,Redfern
"Ind, Mr. Hugh Timothy",08/07/2015,,,Business Trip to Nigeria - acccommodation,T&S - Hotels,,,,719.07,,
"Ind, Mr. Hugh Timothy",08/07/2015,,,Return from business trip to Nigeria,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,5.80,,
"Montgomery, Sir Charles Percival",08/07/2015,,,Travel from Westminster to Waterloo and onto Hampton Wick for senior team away day using contactless TES card.,"T&S - Planes, Trains and Automobiles",,,,6.00,,
"Otter, Mr. Stephen Anthony",08/07/2015,,London Paddington,INTERNAL MEETING,Rail,Standard,,,87.75,,Redfern
"Pratt, Mr. Alan Palaic",08/07/2015,,,meetings at Langhurst. No suitable public transport.,T&S - Employee Reimbursed Mileage,,,,29.60,,
"Pratt, Mr. Alan Palaic",08/07/2015,,,return from Langhurst. No suitable public transport.,T&S - Employee Reimbursed Mileage,,,,29.60,,
"Sutton, Mr. Kenneth David",08/07/2015,,London Zones 1-4,EXTERNAL MEETING,Rail,Standard,,,14.56,,Redfern
"Sutton, Mr. Kenneth David",08/07/2015,,York,EXTERNAL MEETING,Rail,Standard,,,220.01,,Redfern
"Thomson, Mr. Mark David",08/07/2015,,,Return from meeting at FCO to Victoria,Taxis,,,,5.00,,
"Campbell, Ms. Mandie Jane",09/07/2015,,,Meeting with J Heywood,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,1.50,,
"Duffy, Mr. Philip",09/07/2015,,Hampton Wick,CONFERENCE/EVENT,Rail,Standard,,,9.72,,Redfern
