"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"A1","Mark Lowcock","SCS4","Permanent Secretary","Permanent Secretary","Department for International Development","DFID","TMG","0845 300 4100","enquiry@dfid.gov.uk","XX","858571","1.00","160000","164999","","Policy","","1"
"A2","Richard Calvert","SCS3","Director General, Finance and Corporate Performance","Responsible for high quality financial & corporate management with focus on results, VfM & Transparency. Delivery of lower cost professional sorporate centre & increrasing shared services with OGDs.","Department for International Development","DFID","TMG","0845 300 4100","enquiry@dfid.gov.uk","A1","947323","1.00","125000","129999","","Policy","","1"
"A5","Joy Hutcheon","SCS3","Director General, Country Programmes","Supervision of UK Bilateral Aid across 35 developing countries.  Relationship Management at Finance Minister level in key countries.Supervision of UK Emergency Humanitarian responses.","Department for International Development","DFID","TMG","0845 300 4100","enquiry@dfid.gov.uk","A1","436872","1.00","120000","124999","","Policy","","1"
"A7","Nicholas Dyer","SCS3","Director General, Policy and Global Programmes","Develop, support and promote policy that assists poverty reduction & achievement of the MDGs. Work closely with the Hed of Research & DFID's research programme, to ensure a strong two way relationship between policy and research.","Department for International Development","DFID","TMG","0845 300 4100","enquiry@dfid.gov.uk","A1","764314","1.00","110000","114999","","Policy","","1"
"A8","David Kennedy","SCS3","Director General, Economic Development","Director General, Economic Development","Department for International Development","DFID","TMG","0845 300 4100","enquiry@dfid.gov.uk","A1","147029","1.00","125000","129999","","Policy","","1"
"A19","Donal Brown","SCS1","Head, Global Funds Department and DFID representative, Geneva","Head, Global Funds Department and DFID representative, Geneva","Department for International Development","DFID","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A7","543671","1.00","70000","74999","","Policy","","1"
"A20","Christopher Whitty","SCS2","Chief Scientific Advisor / Director Research & Evidence","Chief Scientific Advisor / Director Research & Evidence","Department for International Development","DFID","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A7","1101121","1.00","0","0","","Policy","","1"
"A21","Elizabeth Ditchburn","SCS2","Director, Policy","Director, Policy","Department for International Development","DFID","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A7","404634","1.00","90000","94999","","Policy","","1"
"A23","Stefan Dercon","SCS2","Chief Economist","Chief Economist","Department for International Development","DFID","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A7","1066548","0.80","120000","124999","","Policy","","1"
"A25","Beverley Warmington","SCS2","Director, Asia","Director, Asia","Department for International Development","DFID","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","873940","1.00","95000","99999","","Policy","","1"
"A26","Deborah Palmer","SCS1","Head of Overseas Territories Department","Head of Overseas Territories Department","Department for International Development","DFID","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A25","1361137","1.00","70000","74999","","Policy","","1"
"A27","James Saville","SCS2","Director, People, Operations & Change","Director, People, Operations & Change","Department for International Development","DFID","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A2","1639328","1.00","105000","109999","","Human Resources","","1"
"A28","Rachel Turner","SCS2","Director, East and Central Africa","Director, East and Central Africa","Department for International Development","DFID","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","791756","1.00","90000","94999","","Policy","","1"
"A29","Shaila Khan Leekha","SCS2","Director, International Finance","Director, International Finance","Department for International Development","DFID","Economic Development","0845 300 4100","enquiry@dfid.gov.uk","A7","0","1.00","95000","99999","","Policy","","1"
"A30","Susanna Moorehead","SCS2","Director, West and Southern Africa","Director, West and Southern Africa","Department for International Development","DFID","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","797144","1.00","100000","104999","","Policy","","1"
"A40","David Hallam","SCS2","Director and UK Envoy, Post-2015 Development Goals","Director and UK Envoy, Post-2015 Development Goals","Department for International Development","DFID","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A7","660509","1.00","70000","74999","","Policy","","1"
"A41","Pauline Hayes","SCS2","Director, Western Asia Division (Acting)","Director, Western Asia Division (Acting)","Department for International Development","DFID","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","997081","1.00","75000","79999","","Policy","","1"
"A42","Keith Mackiggan","SCS1","Head of Department","Head of Department","Department for International Development","DFID","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A7","952146","1.00","70000","74999","","Policy","","1"
"A43","Lindy Cameron","SCS2","Director, Middle East, Humanitarian and Conflict","Director, Middle East, Humanitarian and Conflict","Department for International Development","DFID","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A1","403278","1.00","90000","94999","","Policy","","1"
"A44","Les Campbell","SCS2","Director, Value For Money","Director, Value For Money","Department for International Development","DFID","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A2","321507","1.00","115000","119999","","Finance","","1"
"A45","Mark Bryson-Richardson","SCS2","Director, Stabilisation Unit","Director, Stabilisation Unit","Department for International Development","DFID","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A43","1772154","1.00","0","0","","Policy","","1"
"A46","Alistair Fernie","SCS2","Director, International Finance (Acting)","Director, International Finance (Acting)","Department for International Development","DFID","Economic Development","0845 300 4100","enquiry@dfid.gov.uk","A8","1149754","1.00","75000","79999","","Policy","","1"
"B38","James Helm","SCS1","Director, Communications","Director, Communications","Department for International Development","DFID","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A2","1718954","1.00","85000","89999","","Communications","","1"
"B41","Charles Agnew","SCS1","Head of Business Solutions Department","Head of Business Solutions Department","Department for International Development","DFID","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A2","3542197","1.00","80000","84999","","Information Technology","","1"
"B43","Chris Austin","SCS1","Head of DFID Afghanistan","Head of DFID Afghanistan","Department for International Development","DFID","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A43","0","1.00","85000","89999","","Policy","","1"
"B47","Adrian Blundell","SCS1","Head of Group Operations","Head of Group Operations","Department for International Development","DFID","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A27","2170693","1.00","75000","79999","","Policy","","1"
"B49","Elizabeth Carriere","SCS1","Head of DFID South Sudan","Head of DFID South Sudan","Department for International Development","DFID","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A28","644919","1.00","70000","74999","","Policy","","1"
"B52","Sarah Cooke","SCS1","Head of DFID Bangladesh","Head of DFID Bangladesh","Department for International Development","DFID","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A25","996482","1.00","70000","74999","","Policy","","1"
"B54","Richard Dewdney","SCS1","Deputy Director, Africa Region","Deputy Director, Africa Region","Department for International Development","DFID","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A28","3156883","1.00","70000","74999","","Policy","","1"
"B55","Sarah Dunn","SCS1","Head of DFID Southern Africa","Head of DFID Southern Africa","Department for International Development","DFID","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","B54","0","1.00","70000","74999","","Policy","","1"
