"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"A1","Mark Lowcock","SCS4","Permanent Secretary","Permanent Secretary","Department for International Development","DFID","DFID","0845 300 4100","enquiry@dfid.gov.uk","XX","623004","1.00","160000","164999","","","","1"
"A2","Richard Calvert","SCS3","DG Corporate Performance","Responsible for high quality financial & corporate management with focus on results, VfM & Transparency. Delivery of lower cost professional sorporate centre & increrasing shared services with OGDs.","Department for International Development","DFID","Finance & Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A1","1396375","1.00","125000","129999","","","","1"
"A3","Michael Anderson","SCS3","DG Policy & Global Programmes","Policy development & Implementation. Development 
spending through UN, WB & International Organs. 
Research, Evidence & VfM.","Department for International Development","DFID","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A1","449902","1.00","120000","124999","","","","1"
"A5","Joy Hutcheon","SCS3","DG Africa, South and East Asia and Western Hemisphere","Supervision of UK Bilateral Aid across 35 developing countries.  Relationship Management at Finance Minister level in key countries.Supervision of UK Emergency Humanitarian responses.","Department for International Development","DFID","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A1","554336","1.00","105000","109999","","","","1"
"A6","ND","SCS2","Director of West & Southern Africa","Deliver Africa Division’s DPF to reduce poverty in West and Southern Africa","Department for International Development","DFID","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","944830","1.00","105000","109999","","","","1"
"A7","Nick Dyer","SCS2","Director Policy","Develop, support and promote policy that assists poverty reduction & achievement of the MDGs. Work closely with the Hed of Research & DFID's research programme, to ensure a strong two way relationship between policy and research.","Department for International Development","DFID","Policy & International","0845 300 4100","enquiry@dfid.gov.uk","A3","574093","1.00","90000","94999","","","","1"
"A8","ND","SCS2","Head of  DFID, Zimbabwe","Deliver a high quality development programme in Zimbabwe","Department for International Development","DFID","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A6","0","1.00","115000","119999","","","Costs withheld for Security Reasons","1"
"A10","Moazzam Malik","SCS2","Director of Western Asia & Stabilisation","Manage the Stabilisation Unit, across Government body tasked to provide civilian support and advice on stabilisation in the wake of conflict.","Department for International Development","DFID","Country programmes","0845 300 4100","enquiry@dfid.gov.uk","A22","315339","1.00","90000","94999","","","","1"
"A11","Manuel, Marcus","SCS2","Prog Director/BIS Head of Cape /Secondment to ODI","Head of ODI's Centre for Aid and Public expenditure and Programme Director of new initiative to improve budget effectiveness, transparency and accountability in Fragile States.","Department for International Development","DFID","DFID","0845 300 4100","enquiry@dfid.gov.uk","XX","0","0.92","85000","89999","","","Costs withheld for Security Reasons","1"
"A12","ND","SCS2","Director Human Resources","Represent DFID in the UK Government more widely on people management & corporate performance and ensure effective relationships with HMT, FCO, MOD & OGDs.","Department for International Development","DFID","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A2","599239","1.00","100000","104999","","","","1"
