"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"1","Catherine Brown","SCS2","Chief Executive","Chief Executive","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","CEO","01905 763355","corporate.centre@animalhealth.gsi.gov.uk","XX","756048","1.00","N/A","N/A","","Operational Delivery","","1"
"2","Simon Hall","SCS1","Veterinary Director","Veterinary Director","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Veterinary Director","01905 763355","corporate.centre@animalhealth.gsi.gov.uk","1","1112704","1.00","N/A","N/A","","Vets","","1"
"3","Vacant","SCS1","Finance Director","Finance Director","Department for Education","Animal Health and Veterinary Laboratories Agency","Finance Director","N/A","corp.weybridge@ahvla.gsi.gov.uk","1","0","1.00","N/A","N/A","","Finance","Post became vacant 17 October 2011","1"
"4","Julie Pierce","SCS1","CIO and Director of Corporate Services","CIO and Director of Corporate Services","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","CIO and Director of Corporate Services","01905 763355","corporate.centre@animalhealth.gsi.gov.uk","1","5740207","1.00","N/A","N/A","","Information Technology","","1"
"5","Glyn Hewinson","SCS1","Chief Scientist","Chief Scientist","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Chief Scientist","01932 359538","corp.weybridge@ahvla.gsi.gov.uk","1","11718943","1.00","N/A","N/A","","Science and Engineering","","1"
"6","Nina Purcell","SCS1","Chief Operating Officer","Chief Operating Officer","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Chief Operating Officer","01905 763355","corporate.centre@animalhealth.gsi.gov.uk","1","10455614","1.00","N/A","N/A","","Operational Delivery","","1"
"7","Joan Skerry","SCS1","Director of Change","Director of Change","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Director of Change","01905 763355","corporate.centre@animalhealth.gsi.gov.uk","1","2738316","1.00","N/A","N/A","","Planning","","1"
"8","Rupert Hine","SCS1","Director of Advice Services","Director of Advice Services","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Advice Services","01905 763355","corporate.centre@animalhealth.gsi.gov.uk","2","2776075","1.00","N/A","N/A","","Policy","","1"
"9","Richard Bowen","SCS1","HR Director","HR Director","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Human Resources","01905 763355","corporate.centre@animalhealth.gsi.gov.uk","1","1381979","1.00","N/A","N/A","","Human Resources","","1"
"10","Martin Sharples","SCS1","Director for Wales","Director for Wales","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Country Director (Wales)","01905 763355","corporate.centre@animalhealth.gsi.gov.uk","6","4472758","1.00","N/A","N/A","","Operational Delivery","","1"
"11","Edwina Thirkell","SCS1","Director for England","Director for England","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Country Director (England)","01905 763355","corporate.centre@animalhealth.gsi.gov.uk","6","21947512","1.00","N/A","N/A","","Operational Delivery","","1"
"12","Mike Steel","SCS1","Director for Scotland","Director for Scotland","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","Country Director (Scotland)","01905 763355","corporate.centre@animalhealth.gsi.gov.uk","6","3657117","1.00","N/A","N/A","","Operational Delivery","","1"
"0","N/D","SCS1A","Not in Post","N/A","Department for Environment, Food and Rural Affairs","Animal Health and Veterinary Laboratories Agency","N/A","N/A","N/A","1","0","1.00","N/A","N/A","","Operational Delivery","","1"
