"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"1017733","Air Chief Marshal S Hillier","OF-9","Chief of the Air Staff","CAS is the professional head of the Royal Air Force.  He is responsible for generating a balanced and integrated Royal Air Force capability, and for maintaining the fighting effectiveness and morale of the Service.  He reports to the Chief of the Defence  (CDS).  He is a member of the Defence Council and the Air Force Board, the Defence Ministerial Committee, the Defence Board, the Chiefs of Staff Committee and the Senior Appointments Committee.  He chairs the Air Force Board Standing Committee.","Ministry of Defence","Ministry of Defence","Air Command","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","XX","950054179","1.00","175000","179999","","Military","","1"
"1018042","Air Vice-Marshal M Wigston","OF-7","Assistant Chief of the Air Staff","Assisting the Chief of the Air Staff in generating a balanced and integrated Royal Air Force capability and for maintaining the fighting effectiveness and morale of the Service including the development of policy.","Ministry of Defence","Ministry of Defence","Air Command","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1017733","0","1.00","115000","119999","","Military","","1"
"1617513","Air Marshal S Atha","OF-8","Deputy Commander Operations and Air Member for Operations","DCom Ops is the RAF's senior warfighter, and is responsible for generating the RAF’s contribution to Operations both at home and overseas. Commanding AOCs for No 1 Gp, No 2 Gp and 38 Gp he also acts as CAS’s deputy and is in charge of the routine HQ operation on a day to day basis. DCom Ops’ intent is to enable the RAF to Force Generate agile, interoperable and capable war fighters who understand and deliver Air Power in order to meet the challenges of our standing and contingency commitments.","Ministry of Defence","Ministry of Defence","Air Command","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1017733","0","1.00","135000","139999","","Military","","1"
"1071229","Air Marshal S Reynolds","OF-8","Deputy Commander Capability and Air Member for Personnel and Capability","The role of DCom Cap is to provide sufficient personnel to meet the trained manpower requirement of the RAF, to ensure those personnel are trained to be capable of carrying out the tasks demanded of them, and that they are provided with the right support such that they are motivated to repeatedly and willingly deliver operational effect.  As Chair of the Air Force Capability Group, DCom Cap is also responsible for the efficient and effective development of capability for Air.  In his dual role as AMP, he provides the policies, strategies and personnel management advice to CAS to ensure that the RAF vision is deliverable now and in the longer term.","Ministry of Defence","Ministry of Defence","Air Command","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1017733","0","1.00","135000","139999","","Military","","1"
"1071831","Air Vice-Marshal J Chaffey","OF-7","Chaplain-in-Chief","The Mission of the Royal Air Force Chaplains' Branch is to serve the Royal Air Force through Prayer, Presence and Proclamation.","Ministry of Defence","Ministry of Defence","Air Command","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1071229","0","1.00","100000","104999","","Military","","1"
"1901186","N/D","OF-6","Assistant Chief of Staff Media and Communications","To achieve its mission, the RAF must ensure that its role and utility are properly understood by decision makers, the wider public, and all service and civilian personnel within the RAF Whole Force.  ACOS Media and Comms is responsible for the planning and delivery of all  communications activities required to deliver this effect.","Ministry of Defence","Ministry of Defence","Air Command","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1018042","0","1.00","N/A","N/A","","Military","","1"
"1744540","N/D","OF-6","Head of RAF Medical Services","To maximise the numbers of RAF personnel fit for task and provide coherent and effective medical operational capability to facilitate an agile, adaptable and capable Air Force.","Ministry of Defence","Ministry of Defence","Air Command","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1071229","0","1.00","N/A","N/A","","Military","","1"
"1071779","Air Vice-Marshal A Mardell","OF-7","Director Legal Services","To deliver high quality, effective and operationally focused legal services to the RAF and Defence.","Ministry of Defence","Ministry of Defence","Air Command","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1071229","0","1.00","110000","114999","","Military","","1"
"1071780","N/D","OF-6","Deputy Director Legal Services","To deliver high quality, effective and operationally focused legal services to the RAF and Defence.","Ministry of Defence","Ministry of Defence","Air Command","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1071779","0","1.00","N/A","N/A","","Military","","1"
"1071072","Air Vice-Marshal W James","OF-7","Air Officer Commanding 22 Group","The Mission of 22(Trg)Gp is to underpin the military effectiveness of the  RAF and the other Services by timely provision of appropriately trained military and civilian personnel.  The end state is an organisation that delivers mentally and physically robust individuals with a war-fighting specialist mentality ready to integrate into front-line duties.","Ministry of Defence","Ministry of Defence","Air Command","01494 493310","Air-Dres-BMTGpMailbox@mod.gov.uk","1071229","0","1.00","110000","114999","","Military","","1"
