"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"2","","SCS1","Manager","People or project manager","Department for Work and Pensions","The Pensions Regulator","Develop","0870 6063636","customersupport@thepensionsregulator.gov.uk","43","N/D","1.00","N/D","N/D","","Policy","",""
"3","","SCS1","Manager","People or project manager","Department for Work and Pensions","The Pensions Regulator","Support","0870 6063636","customersupport@thepensionsregulator.gov.uk","39","355568","1.00","N/D","N/D","","Information Technology","",""
"4","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Develop","0870 6063636","customersupport@thepensionsregulator.gov.uk","6","0","1.00","N/D","N/D","","Policy","",""
"5","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Develop","0870 6063636","customersupport@thepensionsregulator.gov.uk","6","0","1.00","N/D","N/D","","Policy","",""
"6","","SCS1","Manager","People or project manager","Department for Work and Pensions","The Pensions Regulator","Develop","0870 6063636","customersupport@thepensionsregulator.gov.uk","100","387061","1.00","N/D","N/D","","Policy","",""
"7","","SCS1","Manager","People or project manager","Department for Work and Pensions","The Pensions Regulator","Develop","0870 6063636","customersupport@thepensionsregulator.gov.uk","100","N/D","1.00","N/D","N/D","","Policy","",""
"8","","SCS1","Business Leader","Leading delivery of business unit objectives","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","49","447576","1.00","N/D","N/D","","Operational Delivery","",""
"9","","SCS1","Manager","People or project manager","Department for Work and Pensions","The Pensions Regulator","Support","0870 6063636","customersupport@thepensionsregulator.gov.uk","45","N/D","1.00","N/D","N/D","","Procurement","",""
"10","","SCS1","Manager","People or project manager","Department for Work and Pensions","The Pensions Regulator","Employer Compliance","0870 6063636","customersupport@thepensionsregulator.gov.uk","50","0","0.70","N/D","N/D","","Communications","",""
"11","","SCS1","Business Leader","Leading delivery of business unit objectives","Department for Work and Pensions","The Pensions Regulator","Chief Executive's Office","0870 6063636","customersupport@thepensionsregulator.gov.uk","100","172013","0.90","N/D","N/D","","Policy","",""
"12","","SCS1","Manager","People or project manager","Department for Work and Pensions","The Pensions Regulator","Employer Compliance","0870 6063636","customersupport@thepensionsregulator.gov.uk","47","0","1.00","N/D","N/D","","","",""
"13","","SCS1","Business Leader","Leading delivery of business unit objectives","Department for Work and Pensions","The Pensions Regulator","Support","0870 6063636","customersupport@thepensionsregulator.gov.uk","45","396901","1.00","N/D","N/D","","Finance","",""
"14","","SCS1","Manager","People or project manager","Department for Work and Pensions","The Pensions Regulator","Support","0870 6063636","customersupport@thepensionsregulator.gov.uk","39","663016","1.00","N/D","N/D","","Information Technology","",""
"15","","SCS1","Business Leader","Leading delivery of business unit objectives","Department for Work and Pensions","The Pensions Regulator","Support","0870 6063636","customersupport@thepensionsregulator.gov.uk","45","226396","1.00","N/D","N/D","","Human Resources","",""
"16","","SCS1","Manager","People or project manager","Department for Work and Pensions","The Pensions Regulator","Develop","0870 6063636","customersupport@thepensionsregulator.gov.uk","100","0","1.00","N/D","N/D","","Policy","",""
"17","","SCS1","Business Leader","Leading delivery of business unit objectives","Department for Work and Pensions","The Pensions Regulator","Develop","0870 6063636","customersupport@thepensionsregulator.gov.uk","100","343938","1.00","N/D","N/D","","Operational Research","",""
"18","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1.00","N/D","N/D","","Law","",""
"19","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1.00","N/D","N/D","","Law","",""
"20","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1.00","N/D","N/D","","Law","",""
"21","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1.00","N/D","N/D","","Law","",""
"22","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1.00","N/D","N/D","","Law","",""
"23","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1.00","N/D","N/D","","Law","",""
"24","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1.00","N/D","N/D","","Law","",""
"25","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1.00","N/D","N/D","","Law","",""
"26","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1.00","N/D","N/D","","Law","",""
"27","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","0.80","N/D","N/D","","Law","",""
"28","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","0.70","N/D","N/D","","Law","",""
"29","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","0.60","N/D","N/D","","Law","",""
"30","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","0.60","N/D","N/D","","Law","",""
"31","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1.00","N/D","N/D","","","",""
"32","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1.00","N/D","N/D","","","",""
"33","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1.00","N/D","N/D","","","",""
"34","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","0.40","N/D","N/D","","","",""
"35","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1.00","N/D","N/D","","","",""
"36","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1.00","N/D","N/D","","","",""
"37","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Develop","0870 6063636","customersupport@thepensionsregulator.gov.uk","100","0","1.00","N/D","N/D","","Law","",""
"39","","SCS1","Business Leader","Leading delivery of business unit objectives","Department for Work and Pensions","The Pensions Regulator","Support","0870 6063636","customersupport@thepensionsregulator.gov.uk","45","N/D","1.00","N/D","N/D","","Information Technology","",""
"40","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1.00","N/D","N/D","","","",""
"42","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Develop","0870 6063636","customersupport@thepensionsregulator.gov.uk","100","0","0.60","N/D","N/D","","","",""
"43","Nigel Peaple","SCS2","Head of Corporate and International Affairs","Leading delivery of statutory objectives","Department for Work and Pensions","The Pensions Regulator","Develop","0870 6063636","customersupport@thepensionsregulator.gov.uk","100","356614","1.00","80000","84999","","Communications","",""
"44","","SCS1","Business Leader","Leading delivery of business unit objectives","Department for Work and Pensions","The Pensions Regulator","Employer Compliance","0870 6063636","customersupport@thepensionsregulator.gov.uk","112","N/D","1.00","N/D","N/D","","Procurement","",""
"45","Stuart Weatherley","SCS2","Business Support Executive Director","Leading delivery of statutory objectives","Department for Work and Pensions","The Pensions Regulator","Support","0870 6063636","customersupport@thepensionsregulator.gov.uk","100","1451154","1.00","110000","114999","","","",""
"46","Sue Griffin","SCS2","Head of Customer Channels and Campaigns","Leading delivery of statutory objectives","Department for Work and Pensions","The Pensions Regulator","Develop","0870 6063636","customersupport@thepensionsregulator.gov.uk","100","763305","1.00","120000","124999","","Communications","",""
"47","","SCS1","Business Leader","Leading delivery of business unit objectives","Department for Work and Pensions","The Pensions Regulator","Employer Compliance","0870 6063636","customersupport@thepensionsregulator.gov.uk","50","418856","1.00","N/D","N/D","","Programme and Project Management (PPM)","",""
"49","June Mulroy","SCS2","Business Delivery Executive Director","Leading delivery of statutory objectives","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","100","826131","1.00","135000","139999","","","",""
"50","Graham Brammer","SCS2","Employer Compliance Executive Director","Leading delivery of statutory objectives","Department for Work and Pensions","The Pensions Regulator","Employer Compliance","0870 6063636","customersupport@thepensionsregulator.gov.uk","100","2422213","1.00","140000","144999","","","",""
"52","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1.00","N/D","N/D","","","",""
"53","Stephen Soper","SCS2","Head of Risk and Funding and Pensions Administration and Governance","Leading delivery of statutory objectives","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","100","4975404","1.00","235000","239999","","","",""
"100","Bill Galvin","SCS2","Chief Executive","Executive responsibility for securing that the legislative objectives and functions of the regulator are exercised efficiently and effectively","Department for Work and Pensions","The Pensions Regulator","Chief Executive's Office","0870 6063636","customersupport@thepensionsregulator.gov.uk","XX","1206558","1.00","135000","139999","","","",""
"101","","SCS1","Business Leader","Leading delivery of business unit objectives","Department for Work and Pensions","The Pensions Regulator","Support","0870 6063636","customersupport@thepensionsregulator.gov.uk","45","668045","1.00","N/D","N/D","","Programme and Project Management (PPM)","",""
"102","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1.00","N/D","N/D","","","",""
"103","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1.00","N/D","N/D","","","",""
"104","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1.00","N/D","N/D","","","",""
"105","","SCS1","Manager","People or project manager","Department for Work and Pensions","The Pensions Regulator","Develop","0870 6063636","customersupport@thepensionsregulator.gov.uk","17","231291","1.00","N/D","N/D","","Operational Research","",""
"106","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Employer Compliance","0870 6063636","customersupport@thepensionsregulator.gov.uk","47","0","0.60","N/D","N/D","","","",""
"107","","SCS1","Manager","People or project manager","Department for Work and Pensions","The Pensions Regulator","Employer Compliance","0870 6063636","customersupport@thepensionsregulator.gov.uk","112","0","1.00","N/D","N/D","","Programme and Project Management (PPM)","",""
"108","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","0.80","N/D","N/D","","","",""
"109","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1.00","N/D","N/D","","","",""
"110","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1.00","N/D","N/D","","","",""
"111","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Deliver","0870 6063636","customersupport@thepensionsregulator.gov.uk","53","0","1.00","N/D","N/D","","","",""
"112","","SCS1","Manager","People or project manager","Department for Work and Pensions","The Pensions Regulator","Employer Compliance","0870 6063636","customersupport@thepensionsregulator.gov.uk","50","N/D","1.00","N/D","N/D","","Programme and Project Management (PPM)","",""
"113","","SCS1","Manager","People or project manager","Department for Work and Pensions","The Pensions Regulator","Employer Compliance","0870 6063636","customersupport@thepensionsregulator.gov.uk","112","0","1.00","N/D","N/D","","Programme and Project Management (PPM)","",""
"114","","SCS1","Manager","People or project manager","Department for Work and Pensions","The Pensions Regulator","Develop","","","100","0","","N/D","N/D","","","",""
"115","","SCS1","Technical Specialist","Providing specialist technical advice and interventions","Department for Work and Pensions","The Pensions Regulator","Employer Compliance","","","12","0","","N/D","N/D","","","",""
