"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"10000","Simon Fraser","SCS4","Permanent Under-Secretary and Head of the Diplomatic Service","Leading the FCO and the Diplomatic Service","Foreign and Commonwealth Office","Foreign and Commonwealth office","PUS","0207 008 1500","dp-foi.img@fco.gov.uk","XX","1210000","1.00","180000","184999","","Policy","","1"
"11000","Simon Gass","SCS3","Director General Political","Providing senior policy advice at Board level","Foreign and Commonwealth Office","Foreign and Commonwealth office","DG Political","0207 008 1500","dp-foi.img@fco.gov.uk","10000","3331896","1.00","130000","134999","","Policy","","1"
"11001","Francis Vijay Rangarajan","SCS2","Director - EU General","Senior multilateral policy advice","Foreign and Commonwealth Office","Foreign and Commonwealth office","International Security","0207 008 1500","dp-foi.img@fco.gov.uk","11000","0","1.00","80000","84999","","Policy","","1"
"11100","Richard Crompton","SCS2","Director South Asia and Afghanistan","Senior regional policy advice","Foreign and Commonwealth Office","Foreign and Commonwealth office","South Asia & Afghanistan Directorate","0207 008 1500","dp-foi.img@fco.gov.uk","11000","9295884","1.00","85000","89999","","Policy","","1"
"11101","Charles Stagg","SCS3","HMA Kabul","Representing British interests in Afghanistan","Foreign and Commonwealth Office","Foreign and Commonwealth office","South Asia & Afghanistan Directorate","0207 008 1500","dp-foi.img@fco.gov.uk","11000","0","1.00","135000","139999","","Policy","","1"
"11102","James Bevan","SCS3","BHC New Delhi","Representing British interests in India","Foreign and Commonwealth Office","Foreign and Commonwealth office","South Asia & Afghanistan Directorate","0207 008 1500","dp-foi.img@fco.gov.uk","11000","0","1.00","130000","134999","","Policy","","1"
"11103","Adam Thomson","SCS3","BHC Islamabad","Representing British interests in Pakistan","Foreign and Commonwealth Office","Foreign and Commonwealth office","South Asia & Afghanistan Directorate","0207 008 1500","dp-foi.img@fco.gov.uk","11000","0","1.00","125000","129999","","Policy","","1"
"11104","Robert Gibson","SCS2","BHC Dhaka","Representing British interests in Bangladesh","Foreign and Commonwealth Office","Foreign and Commonwealth office","South Asia & Afghanistan Directorate","0207 008 1500","dp-foi.img@fco.gov.uk","11000","0","1.00","80000","84999","","Policy","","1"
"11105","Catriona Laing","SCS2","Head of Provincial Reconstruction Team and NATO Senior Civilian Representative, Helmand","Representing British interests in Helmand Province","Foreign and Commonwealth Office","Foreign and Commonwealth office","South Asia & Afghanistan Directorate","0207 008 1500","dp-foi.img@fco.gov.uk","11000","0","1.00","80000","84999","","Policy","","1"
"11106","John Rankin","SCS2","BHC Colombo","Representing British interests in Sri Lanka","Foreign and Commonwealth Office","Foreign and Commonwealth office","South Asia & Afghanistan Directorate","0207 008 1500","dp-foi.img@fco.gov.uk","11000","0","1.00","85000","89999","","Policy","","1"
"11107","Nicolas Hailey","SCS2","DHM Kabul","Representing British interests in Afghanistan","Foreign and Commonwealth Office","Foreign and Commonwealth office","South Asia & Afghanistan Directorate","0207 008 1500","dp-foi.img@fco.gov.uk","11000","0","1.00","80000","84999","","Policy","","1"
"11108","Vacant","SCS3","Special Representative for Afghanistan and Pakistan (Duties now part of 11000)","Senior regional policy advice","Foreign and Commonwealth Office","Foreign and Commonwealth office","South Asia & Afghanistan Directorate","N/A","dp-foi.img@fco.gov.uk","11000","0","1.00","0","0","","Policy","","1"
"11109","Alison Blake","SCS2","DHM Islamabad","Representing British Interests in Pakistan","Foreign and Commonwealth Office","Foreign and Commonwealth office","South Asia & Afghanistan Directorate","0207 008 1500","dp-foi.img@fco.gov.uk","11000","0","1.00","80000","84999","","Policy","","1"
"11110","Catherine Royle","SCS2","Kabul - General","Representing British Interests in Afghanistan","Foreign and Commonwealth Office","Foreign and Commonwealth office","South Asia & Afghanistan Directorate","0207 008 1500","dp-foi.img@fco.gov.uk","11000","0","1.00","80000","84999","","Policy","","1"
"11111","Vacant","SCS2","Kabul - General (Slot now combined with 11105)","Representing British Interests in Afghanistan","Foreign and Commonwealth Office","Foreign and Commonwealth office","South Asia & Afghanistan Directorate","N/A","dp-foi.img@fco.gov.uk","11000","0","1.00","0","0","","Policy","","1"
"11112","Peter Beckingham","SCS2","DHC Mumbai","Representing British Interests in India","Foreign and Commonwealth Office","Foreign and Commonwealth office","South Asia & Afghanistan Directorate","0207 008 1500","dp-foi.img@fco.gov.uk","11000","0","1.00","85000","89999","","Policy","","1"
"11200","Vacant","SCS2","Director International Institutions","Senior policy advice on international organisations","Foreign and Commonwealth Office","Foreign and Commonwealth office","International Institutions Directorate","N/A","dp-foi.img@fco.gov.uk","11000","0","1.00","0","0","","Policy","","1"
