"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"17004","Lucy Wylde","SCS2","General Counsel","Head of Legal and Compliance team, responsible for the provision of legal advice and governance and compliance support for all APA activities. The post holder sits on the Advisory Board of the APA.","HM Treasury","Asset Protection Agency","Legal and Compliance","0207 877 3400","correspondence@apa.gsi.gov.uk","18231","0","1.00","160000","164999","","Law","",""
"17014","N/D","SCS1","Investment Director","Director within Investment Department","HM Treasury","Asset Protection Agency","Investment Management","0207 877 3400","correspondence@apa.gsi.gov.uk","17019","0","1.00","0","0","","Policy","",""
"17018","Brian Scammell","SCS2","Chief Credit Officer - Commercial Real Estate","Responsible for making credit and disposal decisions and leading credit analysis in the subject area. The post holder sits on the Credit Committee.","HM Treasury","Asset Protection Agency","CEO Office","0207 877 3400","correspondence@apa.gsi.gov.uk","18231","0","0.80","130000","134999","","Policy","",""
"17019","Ion Dagtoglou","SCS2","Chief Investment Officer","Head of Investment Management Team, responsible for reviewing the Participant Bank's compliance with the Scheme rules, asset management performance and individual asset decisions. The post holder sits on the Advisory Board of the APA.","HM Treasury","Asset Protection Agency","Investment Management","0207 877 3400","correspondence@apa.gsi.gov.uk","18231","964760","1.00","165000","169999","","Policy","",""
"17022","N/D","SCS1","Risk Director","Director within Risk Department","HM Treasury","Asset Protection Agency","Risk","0207 877 3400","correspondence@apa.gsi.gov.uk","18139","0","1.00","0","0","","Policy","",""
"17024","N/D","SCS1","Investment Director","Director within Investment Department","HM Treasury","Asset Protection Agency","Investment Management","0207 877 3400","correspondence@apa.gsi.gov.uk","17019","0","0.80","0","0","","Policy","",""
"17096","N/D","SCS1","Operations Director","Director within Operations Department","HM Treasury","Asset Protection Agency","Operations","0207 877 3400","correspondence@apa.gsi.gov.uk","18231","0","1.00","0","0","","Operational Delivery","",""
"18097","N/D","SCS1","Finance Director","Director within Finance Department","HM Treasury","Asset Protection Agency","Finance","0207 877 3400","correspondence@apa.gsi.gov.uk","18231","0","1.00","0","0","","Finance","",""
"18124","N/D","SCS1","Investment Director","Director within Investment Department","HM Treasury","Asset Protection Agency","Investment Management","0207 877 3400","correspondence@apa.gsi.gov.uk","17019","0","1.00","0","0","","Policy","",""
"18139","N/D","SCS1","Risk Director","Director within Risk Department","HM Treasury","Asset Protection Agency","Risk","0207 877 3400","correspondence@apa.gsi.gov.uk","18231","0","1.00","0","0","","Policy","",""
"18155","N/D","SCS1","Investment Director","Director within Investment Department","HM Treasury","Asset Protection Agency","Investment Management","0207 877 3400","correspondence@apa.gsi.gov.uk","17019","0","1.00","0","0","","Policy","",""
"18231","Bill Dickinson","SCS2","CEO","Executive Head of the APA responsible for the strategic direction of the Agency. Reporting to 2nd Perm Secretary, HM Treasury","HM Treasury","Asset Protection Agency","CEO Office","0207 877 3400","correspondence@apa.gsi.gov.uk","XX","1040748","1.00","140000","144999","","Finance","",""
"19494","N/D","SCS1","Risk Director","Director within Risk Department","HM Treasury","Asset Protection Agency","Risk","0207 877 3400","correspondence@apa.gsi.gov.uk","18139","0","1.00","0","0","","Policy","",""
