"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"1","Eliminated","SCS2","Director of Finance","Manage Finance, Risk Management and ICT","Department for Culture, Media and Sport","Science Museum Group","Finance & ICT","N/a","N/a","16","0","1.00","95000","99999","","Finance","Role replaced by Director of Corporate Services","1"
"2","Paul Kirkman","SCS2","Director - National Railway Museum","Manage Creative Offer for National Railway Museum","Department for Culture, Media and Sport","Science Museum Group","National Railway Museum","0207 942 4003","ExecutivePA2@sciencemuseum.ac.uk","6","1674071","1.00","95000","99999","","Operational Delivery","","1"
"3","Eliminated","SCS2","Director Of HR","Manage HR and ICT","Department for Culture, Media and Sport","Science Museum Group","HR & ICT","N/a","N/a","16","0","1.00","N/A","N/A","","","Role replaced by Director of People and Culture","1"
"4","Eliminated","SCS2","Director - National Media Museum","Manage Creative Offer for National Media Museum","Department for Culture, Media and Sport","Science Museum Group","National Media Museum","N/a","N/a","6","0","1.00","N/A","N/A","","","","1"
"5","Eliminated","SCS2","Director of Science Museum","Manage Creative Offer for ScM","Department for Culture, Media and Sport","Science Museum Group","Science Museum","N/a","N/a","6","0","1.00","N/A","N/A","","","","1"
"6","Ian Blatchford","SCS3","Director of SMG and Science Museum","Provide direction and leadership for Science Museum Group","Department for Culture, Media and Sport","Science Museum Group","Director's Office","0207 942 4003","ExecutivePA2@sciencemuseum.ac.uk","XX","135000","1.00","170000","174999","","Policy","","1"
"7","Eliminated","SCS2","Acting Director of Corporate Services","Manage Estates and Major Projects Functions","Department for Culture, Media and Sport","Science Museum Group","Corporate Services","N/a","N/a","6","0","1.00","60000","64999","","Property and asset management","Estates and Major Projects now comes under Masterplan and Estates","1"
"8","Tom O'Leary","SCS2","Director of Learning","Manage Learning Offer for SMG","Department for Culture, Media and Sport","Science Museum Group","Learning","0207 942 4003","ExecutivePA2@sciencemuseum.ac.uk","22","3755928","1.00","75000","79999","","Operational Delivery","","1"
"9","Lydia Lee","SCS2","Director of Development","Manage Development and Fundraising fuction","Department for Culture, Media and Sport","Science Museum Group","Development","0207 942 4003","ExecutivePA2@sciencemuseum.ac.uk","6","1373562","1.00","95000","99999","","Operational Research","","1"
"10","Eliminated","SCS2","Director of Change Management","Mange Change Programme within SMG","Department for Culture, Media and Sport","Science Museum Group","Director's Office","N/a","N/a","6","0","0.80","N/A","N/A","","","","1"
