Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (œ)",Total Cost of Use of Official Secure Car,Booked through
"Lloyd, Ms. Myrtle",02/01/2017,,,Drove up to Durham the night before.  Overnight parking charges @ Radisson Blu,"T&S - Planes, Trains and Automobiles",,,,8.00,,
"Lloyd, Ms. Myrtle",02/01/2017,,Durham,INTERNAL MEETING,Rail,Standard,,,21.00,,Redfern
"Lloyd, Ms. Myrtle",02/01/2017,,Newcastle,INTERNAL MEETING,,,Hotel Room,,77.60,,Redfern
"Lloyd, Ms. Myrtle",03/01/2017,,,petrol for hire car,"T&S - Planes, Trains and Automobiles",,,,42.40,,
"Lloyd, Ms. Myrtle",03/01/2017,,,Lunch,Unspecified,,,,3.30,,
"Montgomery, Sir Charles Percival",03/01/2017,,,Meal on overnight visit,"Canteens, Lunches, Vending",,,,26.00,,
"Montgomery, Sir Charles Percival",03/01/2017,,,DG out of country in Australia on 03/01 - would like to query this,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Montgomery, Sir Charles Percival",03/01/2017,,Bristol,EXTERNAL MEETING,,,Hotel Standard,,77.60,,Redfern
"Montgomery, Sir Charles Percival",03/01/2017,,Bristol Temple Meads,EXTERNAL MEETING,Rail,Standard,,,204.00,,Redfern
"Webb, Mr. Stephen",03/01/2017,,,Visit to Durham & West Yorks police.  Original tickets booked on Redfern were mislaid,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,146.00,,
"Webb, Mr. Stephen",03/01/2017,,Durham,EXTERNAL MEETING,Rail,Standard,,,52.00,,Redfern
"Webb, Mr. Stephen",03/01/2017,,Newcastle,EXTERNAL MEETING,,,Hotel Room,,77.60,,Redfern
"Cunningham, Mr. Michael Bernard",04/01/2017,,Humberside,EXTERNAL MEETING,,,Hotel Standard- One- Double,,63.80,,Redfern
"Cunningham, Mr. Michael Bernard",04/01/2017,,,EXTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Lloyd, Ms. Myrtle",04/01/2017,,,Taxi from home to railway station.  No suitable public transport.,Taxis,,,,8.00,,
"Lloyd, Ms. Myrtle",04/01/2017,,,Stayed overnight in London.  Dinner.,T&S - Subsistence,,,,26.00,,
"Lloyd, Ms. Myrtle",04/01/2017,,London Heathrow,INTERNAL MEETING,,,Hotel One Double Bed,,125.60,,Redfern
"Lloyd, Ms. Myrtle",04/01/2017,,ZONE U1* LONDN,INTERNAL MEETING,Rail,Standard,,,228.00,,Redfern
"Montgomery, Sir Charles Percival",04/01/2017,,Winchester,EXTERNAL MEETING,Rail,Standard,,,11.00,,Redfern
"Webb, Mr. Stephen",04/01/2017,,,Visit to West Yorkshire Police Replacement for original ticket booked via Redfern,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,43.40,,
"Webb, Mr. Stephen",04/01/2017,,,Visit to Durham & West Yorks policeReplacement for original ticket booked via Redfern,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,105.20,,
"Webb, Mr. Stephen",04/01/2017,,London Kings Cross,EXTERNAL MEETING,Rail,Standard,,,22.00,,Redfern
"Webb, Mr. Stephen",04/01/2017,,Wakefield Westgate,EXTERNAL MEETING,Rail,Standard,,,35.70,,Redfern
"Arnott, Dr. Robert Henry",05/01/2017,,,PUS/directors - College of Policing- transfm forward plg,T&S - Hotels,,,,129.00,,
"Arnott, Dr. Robert Henry",05/01/2017,,,PUS+2 to Sunningdale from stn,Taxis,,,,12.00,,
"Cunningham, Mr. Michael Bernard",05/01/2017,,London Kings Cross,EXTERNAL MEETING,Rail,Standard,,,112.00,,Redfern
"Cunningham, Mr. Michael Bernard",05/01/2017,,Preston,EXTERNAL MEETING,Rail,Standard,,,176.50,,Redfern
"Dottridge, Mr. Adrian Yme",05/01/2017,,Sunningdale,EXTERNAL MEETING,Rail,Standard,,,23.10,,Redfern
"Kershaw, Mr. Stephen Edward",05/01/2017,,Sunningdale,EXTERNAL MEETING,Rail,Standard,,,23.10,,Redfern
"Lamberti, Mr. David James",05/01/2017,,Sunningdale,EXTERNAL MEETING,Rail,Standard,,,23.10,,Redfern
"Lloyd, Ms. Myrtle",05/01/2017,,,Taxi from home to railway station.  No suitable public transport.,Taxis,,,,8.00,,
"Silverman, Mr. Bernard Walter",05/01/2017,,London Kings Cross,EXTERNAL MEETING,Rail,Standard,,,69.45,,Redfern
"Silverman, Mr. Bernard Walter",05/01/2017,,York,EXTERNAL MEETING,Rail,Standard,,,51.15,,Redfern
"Spencer, Dr. Fiona Margaret",05/01/2017,,Sunningdale,EXTERNAL MEETING,Rail,Standard,,,23.10,,Redfern
"Williams, Ms. Wendy",05/01/2017,,Birmingham,EXTERNAL MEETING,,,Hotel Room,,82.25,,Redfern
"Williams, Ms. Wendy",05/01/2017,,Birmingham New St,EXTERNAL MEETING,Rail,Standard,,,226.80,,Redfern
"Freston, Mrs. Penny",06/01/2017,,,travel to Transformation workshop Sunningdale,Taxis,,,,7.00,,
"Hepple, Mr. Tyson Julian",06/01/2017,,Liverpool Lime Street,EXTERNAL MEETING,Rail,Standard,,,129.00,,Redfern
"Hills, Mr. Gareth David",06/01/2017,,Gatwick Airport,EXTERNAL MEETING,Rail,Standard,,,39.80,,Redfern
"Spencer, Dr. Fiona Margaret",06/01/2017,,,"Transformation Portfolio Away Day, Sunningdale",Taxis,,,,6.00,,
"Sutton, Mr. Kenneth David",06/01/2017,,Folkestone West,EXTERNAL MEETING,Rail,Standard,,,76.10,,Redfern
"Sutton, Mr. Kenneth David",06/01/2017,,London Zones 1-4,EXTERNAL MEETING,Rail,Standard,,,13.30,,Redfern
"Arnott, Dr. Robert Henry",09/01/2017,,,ASLEF strike - no trains,T&S - Hotels,,,,512.00,,
"France, Mr. David Paul",09/01/2017,,,"One night's stay at venue of the Police ICT Summit, Hinkley Island Hotel, Leicestershire",T&S - Hotels,,,,85.01,,
"Kershaw, Mr. Stephen Edward",09/01/2017,,Southampton,EXTERNAL MEETING,,,Hotel Room,,74.60,,Redfern
"Kershaw, Mr. Stephen Edward",09/01/2017,,Winchester,EXTERNAL MEETING,Rail,Standard,,,37.20,,Redfern
"Lloyd, Ms. Myrtle",09/01/2017,,,INTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Riach, Ms. Shona",09/01/2017,,Brussels Midi,EXTERNAL MEETING,Cont Rail,Economy,,,129.00,,Redfern
"Sedwill, Mr. Mark",09/01/2017,,Brussels Midi,EXTERNAL MEETING,Cont Rail,Premium Economy,,,110.00,,Redfern
"Tribe, Mr. Lee Kelvin",09/01/2017,,Birmingham New St,EXTERNAL MEETING,Rail,Standard,,,4.60,,Redfern
"Tribe, Mr. Lee Kelvin",09/01/2017,,Coventry,EXTERNAL MEETING,Rail,Standard,,,6.00,,Redfern
"Tribe, Mr. Lee Kelvin",09/01/2017,,London Euston,EXTERNAL MEETING,Rail,Standard,,,52.10,,Redfern
"Webb, Mr. Stephen",09/01/2017,,OXFORD PARKWAY,EXTERNAL MEETING,Rail,Standard,,,16.00,,Redfern
"Williams, Ms. Wendy",09/01/2017,,Birmingham,EXTERNAL MEETING,,,Hotel Standard- One- Double,,85.60,,Redfern
"Williams, Ms. Wendy",09/01/2017,,Birmingham New St,EXTERNAL MEETING,Rail,Standard,,,108.40,,Redfern
"Cunningham, Mr. Michael Bernard",10/01/2017,,London Euston,EXTERNAL MEETING,Rail,Standard,,,11.00,,Redfern
"France, Mr. David Paul",10/01/2017,,,Return trip from home to visit Thames Valley Police; normal place of work is London; journey by car much quicker than by rail.,T&S - Employee Reimbursed Mileage,,,,60.00,,
"Lloyd, Ms. Myrtle",10/01/2017,,,"Car parking @ railways station for 2 days, cheaper than return taxi fare.","T&S - Planes, Trains and Automobiles",,,,13.20,,
"Lloyd, Ms. Myrtle",10/01/2017,,,"Overnight in London, dinner.",T&S - Subsistence,,,,26.00,,
"Lloyd, Ms. Myrtle",10/01/2017,,,Tube fare from 2MS to hotel.,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Lloyd, Ms. Myrtle",10/01/2017,,London Heathrow,INTERNAL MEETING,,,Hotel One Double Bed,,125.60,,Redfern
"Lloyd, Ms. Myrtle",10/01/2017,,ZONE U1* LONDN,INTERNAL MEETING,Rail,Standard,,,251.00,,Redfern
"Parr, Mr. Matthew",10/01/2017,,Birmingham New St,EXTERNAL MEETING,Rail,Standard,,,61.00,,Redfern
"Sedwill, Mr. Mark",10/01/2017,,,VIP working lunch with senior external officials,"Canteens, Lunches, Vending",,,,201.05,,
"Webb, Mr. Stephen",10/01/2017,,,Taxi from Gloucester station to Gloucs Police HQ,Taxis,,,,13.50,,
"Webb, Mr. Stephen",10/01/2017,,Gloucester,EXTERNAL MEETING,Rail,Standard,,,39.50,,Redfern
"Webb, Mr. Stephen",10/01/2017,,Stonehouse,EXTERNAL MEETING,Rail,Standard,,,64.70,,Redfern
"Wilkinson, Miss Sarah Fay",10/01/2017,,OXFORD PARKWAY,EXTERNAL MEETING,Rail,Standard,,,40.50,,Redfern
"Williams, Ms. Wendy",10/01/2017,,London Euston,EXTERNAL MEETING,Rail,Standard,,,12.00,,Redfern
"Hepple, Mr. Tyson Julian",11/01/2017,,Feltham,EXTERNAL MEETING,Rail,Standard,,,24.90,,Redfern
"Lloyd, Ms. Myrtle",11/01/2017,,,Tube fare from hotel to 2MS,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Sedwill, Mr. Mark",11/01/2017,,London Heathrow,EXTERNAL MEETING,Air Tickets,Economy,,,89.20,,Redfern
"Sedwill, Mr. Mark",11/01/2017,,London Paddington,EXTERNAL MEETING,Rail,Standard,,,50.00,,Redfern
"Sedwill, Mr. Mark",11/01/2017,,London St Pancras,EXTERNAL MEETING,Cont Rail,Premium Economy,,,168.00,,Redfern
"Sutton, Mr. Kenneth David",11/01/2017,,Liverpool,EXTERNAL MEETING,,,Hotel Room,,74.59,,Redfern
"Sutton, Mr. Kenneth David",11/01/2017,,Warrington Bank Quay,EXTERNAL MEETING,Rail,Standard,,,11.00,,Redfern
"Wilkinson, Ms. Patsy",11/01/2017,,,Taxi from 2 Marsham St to home after meeting finished late,Taxis,,,,6.60,,
"Cunningham, Mr. Michael Bernard",12/01/2017,,London Euston,EXTERNAL MEETING,Rail,Standard,,,352.00,,Redfern
"Duffy, Mr. Philip",12/01/2017,,Manchester Airport,EXTERNAL MEETING,Rail,Standard,,,287.20,,Redfern
"Lloyd, Ms. Myrtle",12/01/2017,,,-Left home @ 6am,T&S - Subsistence,,,,4.25,,
"Lloyd, Ms. Myrtle",12/01/2017,,,Left home @ 6am.,T&S - Subsistence,,,,4.25,,
"Lloyd, Ms. Myrtle",12/01/2017,,,Car parking cheaper than taxi fare.,"T&S - Planes, Trains and Automobiles",,,,6.70,,
"Lloyd, Ms. Myrtle",12/01/2017,,ZONE U1* LONDN,INTERNAL MEETING,Rail,Standard,,,282.00,,Redfern
"Montgomery, Sir Charles Percival",12/01/2017,,,Visit to Border Force London City Airport,"T&S - Planes, Trains and Automobiles",,,,5.60,,
"Montgomery, Sir Charles Percival",12/01/2017,,London City,EXTERNAL MEETING,,,Hotel Room,,75.60,,Redfern
"Montgomery, Sir Charles Percival",12/01/2017,,London Heathrow,EXTERNAL MEETING,,,Hotel Superior- One- Double,,101.40,,Redfern
"Oppenheim, Mr. Jeremy",12/01/2017,,,dinner with the Secretary to the Independent Inquiry into Child Sexual Abuse.,"Canteens, Lunches, Vending",,,,81.65,,
"Williams, Ms. Wendy",12/01/2017,,Birmingham New St,EXTERNAL MEETING,Rail,Standard,,,11.00,,Redfern
"Williams, Ms. Wendy",12/01/2017,,Newcastle,EXTERNAL MEETING,Rail,Standard,,,135.50,,Redfern
"Arnott, Dr. Robert Henry",13/01/2017,,,ASLEF strike - no trains,T&S - Hotels,,,,87.00,,
"France, Mr. David Paul",13/01/2017,,,"Card handling fee for the Police ICT Summit hotel, Hinkley Island Hotel, Leicestershire",T&S - Hotels,,,,2.13,,
"Lincoln, Mr. Paul Michael",13/01/2017,,,Visa for Official Visit to Kenya 23-27 Jan 17,T&S - Subsistence,,,,44.62,,
"Montgomery, Sir Charles Percival",13/01/2017,,,DG passport renewed via urgent one-day service to meet conditions for travel to Turkey with Border Force (6 months left). Expensing the difference between standard and urgent renewal as DG would otherwise not have urgently renewed.,"T&S - Planes, Trains and Automobiles",,,,55.50,,
"Hayes, Mr. Simon Thomas",16/01/2017,,,Visa,Office Overheads (incl Printing & Publications),,,,17.79,,
"Leach, Mrs. Paula Michelle",16/01/2017,,,London (on route to Liverpool),Taxis,,,,15.00,,
"Leach, Mrs. Paula Michelle",16/01/2017,,,Liverpool,Taxis,,,,5.00,,
"Leach, Mrs. Paula Michelle",16/01/2017,,Liverpool,EXTERNAL MEETING,,,Hotel Standard,,65.60,,Redfern
"Leach, Mrs. Paula Michelle",16/01/2017,,Liverpool Lime Street,EXTERNAL MEETING,Rail,Standard,,,328.00,,Redfern
"Lloyd, Ms. Myrtle",16/01/2017,,,INTERNAL MEETING,Billback Fee,,,,0.60,,Redfern
"Sutton, Mr. Kenneth David",16/01/2017,,,Working Lunch,Miscellaneous,,,,3.99,,
"Williams, Ms. Wendy",16/01/2017,,London Kings Cross,EXTERNAL MEETING,Rail,Standard,,,132.50,,Redfern
"Cunningham, Mr. Michael Bernard",17/01/2017,,London Euston,EXTERNAL MEETING,Rail,Standard,,,352.00,,Redfern
"Cunningham, Mr. Michael Bernard",17/01/2017,,London Heathrow,EXTERNAL MEETING,,,Hotel Standard- One- King Size,,258.60,,Redfern
"Duffy, Mr. Philip",17/01/2017,,,Off peak return to Dover,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,43.70,,
"Duffy, Mr. Philip",17/01/2017,,,Return taxi for two colleagues late at night to and from Glasgow - return trip needed because of lost wallet.,Taxis,,,,60.00,,
"Duffy, Mr. Philip",17/01/2017,,,Dinner - no alcohol,T&S - Subsistence,,,,11.45,,
"Duffy, Mr. Philip",17/01/2017,,,taxi across town after room at hotel had damp,Taxis,,,,5.00,,
"Duffy, Mr. Philip",17/01/2017,,,Hotel booked for two nights at last minute after original Refeearn booking had mouldy carpets - complaint filed and refund from redfearn sought.,T&S - Hotels,,,,131.00,,
"Duffy, Mr. Philip",17/01/2017,,,Return ticket to LHR with Staff Discount,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,9.00,,
"Duffy, Mr. Philip",17/01/2017,,,Train Fair,T&S - Hotels,,,,2.40,,
