"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"1","Moira Wallace","SCS4","Permanent Secretary","Senior official leading a Government Department","Department of Energy and Climate Change","Department of Energy and Climate Change","Private Office Group","0300 060 4000","correspondence@decc.gsi.gov.uk","XX","497900","1.00","165000","169999","","Policy","","1"
"2","Simon Virley","SCS3","Director General, Energy Markets and Infrastructure","Director General in charge of energy policy","Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","0300 060 4000","correspondence@decc.gsi.gov.uk","1","1103553","1.00","140000","144999","","Policy","Includes costs of post 5, 6, 8, 67","1"
"3","Jonathan Brearley","SCS2","Energy Markets and Networks","Address critical issues in the UK Energy Market - including electricity market reform, security of supply and the future of electricity networks","Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","0300 060 4000","correspondence@decc.gsi.gov.uk","2","0","1.00","90000","94999","","Policy","","1"
"4","Bernard Bulkin","SCS2","Chair, Office for Renewable Energy Deployment","To provide expert advice to government and externally, to help build a strong reputation for Office for Renewable Energy Deployment (ORED) as a delivery body","Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","0300 060 4000","correspondence@decc.gsi.gov.uk","2","0","0.33","35000","39999","","Policy","","1"
"5","Stephen Speed","SCS2","Energy Development","Upstream onshore and offshore oil and gas; large energy infrastructure planning cases; health, concessionary fuel and pension liabilities of the former nationalised coal industry; sponsorship of the Coal Authority; digital platform and application development to support delivery of most fo the above..","Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","0300 060 4000","correspondence@decc.gsi.gov.uk","2","0","1.00","95000","99999","","Operational Delivery","Costs included in post 2","1"
"6","Ashley Ibbett","SCS2","Director and Chief Executive of the Office of Carbon Capture and Storage","To lead the team on Carbon Capture and Storage","Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","0300 060 4000","correspondence@decc.gsi.gov.uk","2","0","1.00","80000","84999","","Policy","Costs included in post 2","1"
"7","Hugo Robson","SCS2","Commercial Director","To work with teams across DECC to improve the commercial viability of DECC’s major policies and programmes; lead the Commercial Team’s effort to enhance DECC’s understanding of our major investors and the capital markets as well as developing DECC’s commercial skills and awareness.","Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","0300 060 4000","correspondence@decc.gsi.gov.uk","2","0","1.00","140000","144999","","Policy","","1"
"8","Mark Higson","SCS2","CEO, Office for Nuclear Development","Facilitating the deployment of new nuclear power, implementing nuclear waste management policy, including geological disposal.","Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","0300 060 4000","correspondence@decc.gsi.gov.uk","2","0","0.78","85000","89999","","Policy","Costs included in post 2","1"
"9","Hugh McNeal","SCS2","Office for Renewable Energy Deployment","To increase the deployment of renewable energy in the UK as cost effectively as possible.","Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","0300 060 4000","correspondence@decc.gsi.gov.uk","2","353934","1.00","80000","84999","","Policy","","1"
"11","N/D","SCS1","Head of Commercial Team","The Commercial Team provides power & utilities and capital markets analysis for Minister and policy colleagues in DECC; and co-ordinates investor relations for the department.","Department of Energy and Climate Change","Department of Energy and Climate Change","Energy Markets & Infrastructure","0300 060 4000","correspondence@decc.gsi.gov.uk","7","409504","1.00","0","0","","Policy","","1"
