"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"3497619","Andrew Williams","SCS3","Chief Executive","Responsible for the provision of leadership and accountability for the HSCIC as the trusted national provider of high quality information, data and IT systems for health and social care enabling people to make informed decisions and achieve the best possible health and wellbeing outcomes","Department of Health","Health and Social Care Information Centre","Health and Social Care Information Centre","0845 300 6016","enquiries@hscic.gov.uk","xx","734011","1.00","185000","189999","","Operational Delivery","","1"
"11709577","Maxwell Jones","SCS2","Director of Information and Analytics","Develop, implement and lead an innovative and coherent strategy for the collection, management and dissemination of nationally held data and information across the health and care system.","Department of Health","Health and Social Care Information Centre","Information and Analytics Directorate","0845 300 6016","enquiries@hscic.gov.uk","3497619","16193336","1.00","125000","129999","","Operational Delivery","","1"
"14361417","Rachel Allsop","SCS2","Director of HR and Transformation","Responsible for the delivery of optimal transformational, HR and people management capability to facilitate enhanced performance across the organisation","Department of Health","Health and Social Care Information Centre","HR and Transformation Directorate","0845 300 6016","enquiries@hscic.gov.uk","3497619","1647642","1.00","120000","124999","","Human Resources","","1"
"14369254","Thomas Denwood","SCS2","National LSP Programme Director","Lead the British Telecom and Computer Sciences Corporation LSP contracts, the PACS contracts and the Southern Local Clinical Systems initiative to completion, ensuring that Trusts and other customers secure maximum benefit","Department of Health","Health and Social Care Information Centre","Provider Support Directorate","0845 300 6016","enquiries@hscic.gov.uk","3497619","6213238","1.00","95000","99999","","Programme and Project Management (PPM)","","1"
"14365491","Robert Shaw","SCS2","Director of Operations and Assurance Services","Responsible for the delivery of major national infrastructure and services across the Health and Care system to the highest standards of security and quality.  Responsible for the clinical and technical assurance for all programmes and connected systems.","Department of Health","Health and Social Care Information Centre","Operations and Assurance Services Directorate","0845 300 6016","enquiries@hscic.gov.uk","3497619","32334144","1.00","130000","134999","","Programme and Project Management (PPM)","","1"
"13734161","Thomas Hawkins","SCS2","Director of Programmes","Develop the HSCIC as the world leader in the application of technology in health and care and lead the successful delivery of the portfolio of national programmes of infrastructure and applications delivered by the HSCIC for the health and care system.","Department of Health","Health and Social Care Information Centre","Programme Delivery Directorate","0845 300 6016","enquiries@hscic.gov.uk","3497619","17901583","1.00","110000","114999","","Programme and Project Management (PPM)","","1"
"15953960","Peter Counter","SCS2","Chief Technology Officer","To establish the HSCIC as the world leader in the application of technology in health and care","Department of Health","Health and Social Care Information Centre","Architecture, Standards and Innovation Directorate","0845 300 6016","enquiries@hscic.gov.uk","3497619","8812551","1.00","145000","149999","","Operational Delivery","","1"
"T1","Carl Vincent","SCS2","Director of Finance and Corporate Services","Responsible for the delivery of key corporate services, infrastructure and expertise that secure the probity, financial health and reputation of the organisation","Department of Health","Health and Social Care Information Centre","Finance and Corporate Services Directorate","0845 300 6016","enquiries@hscic.gov.uk","3497619","8631104","1.00","N/A","N/A","","Finance","","1"
"T2","Martin Severs","SCS2","Caldicott Guardian and Lead Clinician","Caldicott Guardian and Lead Clinician, providing information governance assurance and leadership of clinical contributions to the HSCIC","Department of Health","Health and Social Care Information Centre","Clinical and Public Assurance Directorate","0845 300 6016","enquiries@hscic.gov.uk","3497619","409014","1.00","N/A","N/A","","Operational Delivery","","1"
"T3","Vacancy","SCS2","Director of Customer Relations","Lead, maintain and develop effective customer, stakeholder and media relations for the HSCIC","Department of Health","Health and Social Care Information Centre","Customer Relations Directorate","0845 300 6016","enquiries@hscic.gov.uk","3497619","1612580","1.00","N/A","N/A","","Operational Delivery","","1"
"T4","Vacancy","SCS2","Director Of Strategy","Interpret and influence overall health and care policy and strategy, in order to develop solutions to a range of strategically important issues","Department of Health","Health and Social Care Information Centre","Customer Relations Directorate","0845 300 6016","enquiries@hscic.gov.uk","3497619","0","1.00","N/A","N/A","","Operational Delivery","","1"
"15820667","N/D","SCS1","Director of Data Dissemination Services","Establish and support a new service model, which will encompass the existing services covered by the National Back Office, Medical Research Information Service, Data Linkage Service, Hospital Episode Statistics Data Interrogation Service and HSCIC Contact Centre.","Department of Health","Health and Social Care Information Centre","Information and Analytics Directorate","0845 300 6016","enquiries@hscic.gov.uk","11709577","N/D","1.00","N/A","N/A","","Operational Delivery","","1"
"15781237","N/D","SCS1","Programme Director","Leads on the BT LSP work within the Provider Support Directorate.","Department of Health","Health and Social Care Information Centre","Provider Support Directorate","0845 300 6016","enquiries@hscic.gov.uk","14369254","N/D","1.00","N/A","N/A","","Programme and Project Management (PPM)","","1"
"13637510","N/D","SCS1","National Clinical Lead - Safety","Lead on Clinical Safety matters across the organisation","Department of Health","Health and Social Care Information Centre","Operations and Assurance Services Directorate","0845 300 6016","enquiries@hscic.gov.uk","14365491","N/D","1.00","N/A","N/A","","Operational Delivery","Postholder out on Secondment","1"
"7751851","N/D","SCS1","Programme Director","Leads on the PbR and SUS Programmes within the Data and Information Services directorate.","Department of Health","Health and Social Care Information Centre","Operations and Assurance Services Directorate","0845 300 6016","enquiries@hscic.gov.uk","14365491","N/D","1.00","N/A","N/A","","Programme and Project Management (PPM)","","1"
"3499311","N/D","SCS1","Commercial Director","Commerical lead for the local service provider contracts in place across the health and care system within the North, Midlands and East and responsibility for the re-procurement of major national systems.","Department of Health","Health and Social Care Information Centre","Finance and Corporate Services Directorate","0845 300 6016","enquiries@hscic.gov.uk","T1","N/D","1.00","N/A","N/A","","Operational Delivery","","1"
"14229566","N/D","SCS1","Director of Benefits and Utilisation","Lead on the identification and application of options to reduce burden and bureacracy in the collection of data across the Health and Care System","Department of Health","Health and Social Care Information Centre","Information and Analytics Directorate","0845 300 6016","enquiries@hscic.gov.uk","11709577","N/D","1.00","N/A","N/A","","Operational Delivery","","1"
