"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"19678","Nick Macpherson","SCS4","Permanent Secretary","Responsible for decision making, Coordination and Management of the Department and Communications with media and the public.","Her Majesty's Treasury","HM Treasury","Board Ministerial and Communications","020 7270 5760","public.enquiries@hm-treasury.gov.uk","XX","0","1.00","175000","179999","","Policy","","1"
"19562","Tom Scholar","SCS4","Second Permanent Secretary","Responsible for the Treasury's work to promote the UK economic prosperity by maintaining financial stability internationally and in the UK' promoting global prosperity, driving economic reform in the EU","Her Majesty's Treasury","HM Treasury","Board Ministerial and Communications","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19678","0","1.00","150000","154999","","Policy","","1"
"19533","Vacant","SCS3","Director General, Tax and Welfare","Responsible for Tax and Welfare","Her Majesty's Treasury","HM Treasury","Board Ministerial and Communications","N/A","public.enquiries@hm-treasury.gov.uk","19678","0","1.00","0","0","","Policy","","1"
"19574","Jonathan Taylor","SCS3","Director General, Financial Services Groups","Responsible for oversight of Strategy in the financial services groups","Her Majesty's Treasury","HM Treasury","Board Ministerial and Communications","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19562","0","1.00","160000","164999","","Policy","","1"
"19575","Michael Ellam","SCS3","Director General, International and EU","Responsible for International and EU","Her Majesty's Treasury","HM Treasury","Board Ministerial and Communications","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19562","0","1.00","105000","109999","","Policy","","1"
"19614","Sharon White","SCS3","Director General, Public Spending","Responsible for the Treasury's work on Public services with overall responsibility for managing public spending, strengthening financial discipline across central government, helping to ensure the delivery of more cost effective public services, and contributing to creating the conditions for sustainable growth whilst supporting development in infrastructure and a low carbon economy.","Her Majesty's Treasury","HM Treasury","Board Ministerial and Communications","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19678","0","1.00","130000","134999","","Policy","","1"
"19787","Dave Ramsden","SCS3","Director General and Chief Economic Adviser to the Treasury","Responsible for  economic and fiscal policy advice, analysis and surveillance. As head of Government Economic service leadership of the economic profession across government, working closely with other heads of profession, in particular for social research.","Her Majesty's Treasury","HM Treasury","Economics and Fiscal","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19678","0","1.00","115000","119999","","Economics","","1"
"10256","Vacant","SCS2","Director, Finance, Commercial, JWS and Internal Audit","Responsible for Estates, IT, Management of Domestic Budget, Accounts and Commercial Activities","Her Majesty's Treasury","HM Treasury","Corporate Centre","N/A","public.enquiries@hm-treasury.gov.uk","19678","0","1.00","0","0","","Policy","","1"
"19535","Mike Williams","SCS2","Director  Business and International Tax","Responsible for Corporation Tax, Capital Gains Tax, Value Added Tax, other consumption taxes and duties, International Tax and Environmental taxes.","Her Majesty's Treasury","HM Treasury","Business and International Tax","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19533","0","1.00","110000","114999","","Policy","","1"
"19547","Creon Butler","SCS2","Director International and Macroeconomics","Responsible for International and Macroeconomics","Her Majesty's Treasury","HM Treasury","International and EU","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19575","0","1.00","110000","114999","","Operational Delivery","","1"
"19564","Alison Cottrell","SCS2","Director of Financial Services","Responsible for Policy with Respect to Financial Services","Her Majesty's Treasury","HM Treasury","Financial Services","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19574","0","0.50","40000","44999","","Policy","Split post","1"
"19572","Nikhil Rathi","SCS2","Director, Financial Regulation and Market Services","Responsible for Financial Service Regulatory Framework and Financial Markets Policy Issues","Her Majesty's Treasury","HM Treasury","Financial Regulation","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19574","0","1.00","80000","84999","","Policy","","1"
"19573","Shona Riach","SCS2","Director International Finance","Responsible for advancing the UK's economic and financial interests","Her Majesty's Treasury","HM Treasury","International and EU","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19575","505601","1.00","80000","84999","","Policy","","1"
"19576","Peter Curwen","SCS2","Director Europe Finance","Responsible for Europe Finance","Her Majesty's Treasury","HM Treasury","International and EU","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19575","0","1.00","90000","94999","","Policy","","1"
"19591","Mridul Hegde","SCS2","Director Financial Stability","Responsible to monitor, contingency plan and intervene were necessary in situations of financial stability; and to manage the legacy of the financial sector interventions the Government has already undertaken.","Her Majesty's Treasury","HM Treasury","Financial Stability","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19574","0","1.00","85000","89999","","Policy","","1"
"19596","Julian Kelly","SCS2","Director, Public Spending","Responsible for Spending Control, Pay and Pensions","Her Majesty's Treasury","HM Treasury","Public Spending","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19614","0","1.00","80000","84999","","Policy","","1"
"19617","Lindsey Fussell","SCS2","Director, Public Services","Responsible for Oversight of Major Public Service Expenditure","Her Majesty's Treasury","HM Treasury","Public Services","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19614","0","0.89","75000","79999","","Policy","Part-Time  0.89FTE","1"
"19618","Jeremy Pocklington","SCS2","Director, Enterprise & Growth Unit (EGU)","Responsible for Expenditure and Policy on Growth-Related Services and Business","Her Majesty's Treasury","HM Treasury","Enterprise and Growth","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19614","0","1.00","85000","89999","","Policy","","1"
"19806","James Richardson","SCS2","Director, Fiscal Policy","Responsible for Fiscal strategy, funding, and dept management, and montoring fiscal position.","Her Majesty's Treasury","HM Treasury","Fiscal","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19787","0","1.00","85000","89999","","Policy","","1"
"19809","Tamara Finkelstein","SCS2","Director, Public Services","Responsible for Oversight of Major Public Service Expenditure","Her Majesty's Treasury","HM Treasury","Public Services","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19614","0","0.90","75000","79999","","Policy","Part-Time 0.9 FTE","1"
"19812","Indra Morris","SCS2","Director, Personal Tax, Welfare and pensions Group","Responsible for Personal Tax, Welfare, Labour Market and HMRC/DPW Expenditure, Pensions and Savings.","Her Majesty's Treasury","HM Treasury","Personal Tax, Welfare and Pensions","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19533","0","1.00","110000","114999","","Policy","","1"
"19840","Alex Gibbs","SCS2","Director IMF and World Bank","Responsible for IMF and World Bank","Her Majesty's Treasury","HM Treasury","International and EU","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19575","0","1.00","85000","89999","","Policy","","1"
"20724","Alison Cottrell","SCS2","Director of Corporate Services","Responsible for HR and Corporate Change Management","Her Majesty's Treasury","HM Treasury","Corporate Centre","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19678","0","0.50","40000","44999","","Policy","Split post","1"
"20744","Geoffrey Spence","SCS2","Chief Executive, Infrastructure UK","Responsible for growth-related policy and expenditure, includes infrasture stratgy and delivery, and public private partnerships.","Her Majesty's Treasury","HM Treasury","Infrastructure UK (IUK)","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19678","1823139","1.00","170000","174999","","Policy","","1"
"22007","James Bowler","SCS2","Director Strategy Planning and Budget","Responsible for defining forward strategy, work programme, the budget, and short-term priority policy projects","Her Majesty's Treasury","HM Treasury","Strategy, Planning and  Budget","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19533","0","1.00","90000","94999","","Policy","","1"
"21007","James Ballingall","SCS1A","Deputy Director, Head of Assurance","Responsible for providing assurance in major projects","Her Majesty's Treasury","HM Treasury","Assurance & International","020 7270 5760","public.enquiries@hm-treasury.gov.uk","20744","998295","1.00","0","0","","Policy","","1"
"13153","N/D","SCS1","Deputy Director, Home and Legal","Responsible for Home and Legal","Her Majesty's Treasury","HM Treasury","Home and Legal","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19617","590833","1.00","0","0","","Policy","","1"
"0","N/D","SCS1","Not in Post","N/A","Her Majesty's Treasury","HM Treasury","N/A","N/A","public.enquiries@hm-treasury.gov.uk","10057","0","1.00","0","0","","Policy","","1"
"0","N/D","SCS1","Not in Post","N/A","Her Majesty's Treasury","HM Treasury","N/A","N/A","public.enquiries@hm-treasury.gov.uk","10057","0","0.80","0","0","","Policy","Part-time","1"
"0","N/D","SCS1","Not in Post","N/A","Her Majesty's Treasury","HM Treasury","N/A","N/A","public.enquiries@hm-treasury.gov.uk","19618","0","0.59","0","0","","Policy","Part-time","1"
"0","N/D","SCS1","Not in Post","N/A","Her Majesty's Treasury","HM Treasury","N/A","N/A","public.enquiries@hm-treasury.gov.uk","19812","0","1.00","0","0","","Policy","","1"
"10057","N/D","SCS1","Deputy Director, Corporate Taxation","Responsible for Policy on Corporate and Financial Sector Taxation","Her Majesty's Treasury","HM Treasury","Corporate Taxation","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19535","604343","1.00","0","0","","Policy","","1"
"10077","N/D","SCS1","Deputy Director, Enviroment and Transport Tax","Responsible Enviroment and Transport Tax","Her Majesty's Treasury","HM Treasury","Environment & Transport Tax","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19535","514830","1.00","0","0","","Policy","","1"
"10135","N/D","SCS1","Deputy Director Welfare, Spending and Reform","Responsible for employment and welfare policy for working age, DWP and welfare expenditure","Her Majesty's Treasury","HM Treasury","Welfare Spending and Reform","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19812","547523","1.00","0","0","","Policy","","1"
"10269","N/D","SCS1","Deputy Director Group Finance","Responsible for management of Treasury Group financial resources, budgeting and controls and finance operations including invoicing and payment of suppliers.","Her Majesty's Treasury","HM Treasury","Group Finance","020 7270 5760","public.enquiries@hm-treasury.gov.uk","10256","1299356","1.00","0","0","","Finance","","1"
"10304","N/D","SCS1","Deputy Director, Treasury Group Internal Audit","Responsible for providing independent and objective audit services to the Accounting Officer and Treasury Group Audit Committee.","Her Majesty's Treasury","HM Treasury","Treasury Group Internal Audit","020 7270 5760","public.enquiries@hm-treasury.gov.uk","10256","0","0.60","0","0","","Internal Audit","Part-time","1"
"10583","N/D","SCS1","Deputy Director, Macroeconomic Analysis","Responsible for Macroeconomic Analysis","Her Majesty's Treasury","HM Treasury","Macroeconomic Analysis","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19787","368271","1.00","0","0","","Economics","","1"
"10594","N/D","SCS1","Deputy Director, Macroeconomic Prospects","Responsible for Macroeconomic Prospects","Her Majesty's Treasury","HM Treasury","Macroeconomic Prospects","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19787","429069","1.00","0","0","","Economics","","1"
"10658","N/D","SCS1","Deputy Director, Sanctions and Counter Illicit Finance","Respobsible for Sanctions and Counter Illicit Finance","Her Majesty's Treasury","HM Treasury","Sanctions and Illicit Finance","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19573","835448","1.00","0","0","","Policy","","1"
"10671","N/D","SCS1","Deputy Director, Financial Regulation Strategy","Responsible for the Financial Regulation Reform Bill","Her Majesty's Treasury","HM Treasury","Financial Regulation Strategy","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19564","592630","1.00","0","0","","Policy","","1"
"10699","N/D","SCS1","Deputy Director, European Union Finances","Responsible for European Union Finances","Her Majesty's Treasury","HM Treasury","European Union Finances","020 7270 5760","public.enquiries@hm-treasury.gov.uk","19576","471419","1.00","0","0","","Policy","","1"
