Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,VAT Included,Invoice Description,Postal Code,Supplier Type,Contract Number,Project Code,Expenditure Type
Crown Prosecution Service,Crown Prosecution Service,03/11/2014,Landlord Service Charge,Corporate,DTZ Debenham Tie Leung,3451833363,"119,389.93",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,03/11/2014,Landlord Service Charge,Corporate,DTZ Debenham Tie Leung,3451833363,"119,389.93",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,03/11/2014,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,3451833363,"19,126.72",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,03/11/2014,National Non Domestic Rates,Corporate,DTZ Debenham Tie Leung,3451833363,"19,126.72",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,03/11/2014,Rent,Corporate,DTZ Debenham Tie Leung,3451833363,"72,294.09",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,03/11/2014,Rent,Corporate,DTZ Debenham Tie Leung,3451833363,"72,294.09",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,03/11/2014,Crown Court Graduated Fee Scheme,South West Area,Tully Ray ,1463033,"35,730.02",Y,5210412022,BS1 2HG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,03/11/2014,Crown Court Graduated Fee Scheme,London,Farrelly Catherine ,1462874,"42,228.86",Y,6316411951,EC4Y 7DN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,03/11/2014,Data Communications,Business Information Sys Dir,Vodafone Ltd formerly Cable and Wireless Milton Keynes,5036845,"237,618.70",,NC01333246,MK3 5JP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/11/2014,Crown Court Very High Cost Cases,Cymru/Wales Area,Clee Christopher ,1463558,"46,024.40",Y,6019411454,SA1 8AS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/11/2014,Crown Court Graduated Fee Scheme,West Midlands Area,Kent Alan ,1464039,"44,134.64",Y,3217411027,WC2R 3AA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/11/2014,Crown Court Graduated Fee Scheme,Yorkshire and Humberside Area,Storey Tom ,1464119,"34,933.32",Y,2858412192,LS1 2BH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/11/2014,Reprographics - Other Costs,Central Fraud Group,Xerox (UK) Ltd,5036919,"25,136.39",,Ludgate Manned,UB8 1HS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/11/2014,Reprographics - Other Costs,Corporate,Xerox (UK) Ltd,5036919,"16,620.71",,Ludgate Manned,UB8 1HS,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,05/11/2014,Reprographics - Other Costs,Corporate,Xerox (UK) Ltd,5036919,"49,862.14",,Ludgate Manned,UB8 1HS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/11/2014,Reprographics - Other Costs,Proceeds of Crime,Xerox (UK) Ltd,5036919,"3,148.94",,Ludgate Manned,UB8 1HS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/11/2014,Reprographics - Other Costs,Special Crime Division,Xerox (UK) Ltd,5036919,"13,339.32",,Ludgate Manned,UB8 1HS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/11/2014,Contractor/Service (Contract Management) - Global Crossing,Corporate,CGI IT UK Ltd,5036905,"72,496.94",,CCR5692 - Humberside CPS Relocation,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/11/2014,Logica contract,Corporate,CGI IT UK Ltd,5036905,"74,437.74",,CCR5528-CPS South West Exeter,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,06/11/2014,Crown Court Graduated Fee Scheme,Special Crime Division,Dennis M ,1464299,"47,763.82",Y,7104415302,EC4R 2RP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,06/11/2014,Crown Court Graduated Fee Scheme,Thames and Chiltern Area,Price John ,1464681,"43,979.86",Y,5121409328,WC2R 3AA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,06/11/2014,Crown Court Graduated Fee Scheme,Special Crime Division,Wilkinson Kate ,1464298,"25,618.81",Y,7104415341,EC4R 2RP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,06/11/2014,Data Communications,Business Information Sys Dir,Vodafone Ltd formerly Cable and Wireless Milton Keynes,5036923,"48,000.00",,NC01413212,MK3 5JP,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/11/2014,Crown Court Graduated Fee Scheme,West Midlands Area,Lockhart Andrew ,1464953,"49,095.90",Y,3215410888,B2 5LS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/11/2014,Crown Court Graduated Fee Scheme,Thames and Chiltern Area,Banham Colin ,1464750,"27,952.68",Y,5148409507,SO23 9EB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/11/2014,Transcriptions And Translation,Corporate,Wordwave International Ltd,5037001,"43,922.60",,NC01329963,EC4A 2DY,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/11/2014,Transcriptions And Translation,Corporate,AVR Transcription Ltd Bolton,5037011,"131,284.14",,NC01329946,BL6 6HG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/11/2014,Contractor/Service (Contract Management) - Global Crossing,Corporate,Level 3 Communications UK Limited,5037012,"125,150.70",,Jul-Sep 2014 CPSD Rental & Usage,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/11/2014,Computer Services,Corporate,CGI IT UK Ltd,5036996,"53,131.20",,CCR5280 Accomodation Moves,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/11/2014,Logica / Xerox MFD click charges,Corporate,CGI IT UK Ltd,5036996,"184,536.08",,Compass 2012 service del. infrastructure Xerox MFD click charges  Sep2014,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,07/11/2014,Logica contract,Business Information Sys Dir,CGI IT UK Ltd,5036996,"59,851.80",,CCR5511-Invoice for profefssional services for ITA service Apr-June 2014,RG2 6UA,Not available,Not available,Not available,Programme
