"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"19678","Nick Macpherson","SCS4","Permanent Secretary","Responsible for decision making, Coordination and Management of the Department and Communications with media and the public.","Her Majesty's Treasury","HM Treasury","Board Ministerial and Communications","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","XX","0","1.00","180000","184999","","Policy","","1"
"23164","John Kingman","SCS3","Second Permanent Secretary","Responsible for growth policy, financial services and infrastructure","Her Majesty's Treasury","HM Treasury","Board Ministerial and Communications","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","19678","0","1.00","160000","164999","","Policy","","1"
"24041","Dave Ramsden","SCS3","Director General and Chief Economic Adviser to the Treasury","Responsible for  economic and fiscal policy advice, analysis and surveillance. As head of Government Economic service leadership of the economic profession across government, working closely with other heads of profession, in particular for social research.","Her Majesty's Treasury","HM Treasury","Economics and Fiscal","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","19678","0","1.00","125000","129999","","Policy","","1"
"24775","Charles Roxburgh","SCS3","Director General Financial Services","Responsible for Financial Services","Her Majesty's Treasury","HM Treasury","Board Ministerial and Communications","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","23164","0","1.00","130000","134999","","Policy","","1"
"25448","Mark Bowman","SCS3","Director General International Finance","Responsible for International Finance","Her Majesty's Treasury","HM Treasury","Board Ministerial and Communications","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","19678","0","1.00","120000","124999","","Policy","","1"
"26072","Julian Kelly","SCS3","Director General Public Spending","Responsible for the Treasury's work on Public services with overall responsibility for managing public spending, strengthening financial discipline across central government, helping to ensure the delivery of more cost effective public services, and contributing to creating the conditions for sustainable growth whilst supporting development in infrastructure and a low carbon economy.","Her Majesty's Treasury","HM Treasury","Board Ministerial and Communications","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","19678","0","1.00","115000","119999","","Policy","","1"
"27068","Katherine Green","SCS2","Director, Corporate Services","Responsible for HR and Corporate Change Management,developing corporate policies and processes","Her Majesty's Treasury","HM Treasury","Corporate Centre","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","19678","938877","0.60","50000","54999","","Policy","Part time 0.6 FTE","1"
"24038","Geoffrey Spence","SCS2","Chief Executive, Infrastructure UK","Responsible for growth-related policy and expenditure, includes infrasture stratgy and delivery, and public private partnerships.","Her Majesty's Treasury","HM Treasury","Infrastructure UK (IUK)","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","23164","4469775","1.00","170000","174999","","Policy","","1"
"24025","Kirstin Baker","SCS2","Director, Finance and Commercial","Responsible for Estates, IT, Management of Domestic Budget, Accounts and Commercial Activities","Her Majesty's Treasury","HM Treasury","Corporate Centre","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","19678","0","0.60","50000","54999","","Policy","Part time 0.6 FTE","1"
"24027","Mike Williams","SCS2","Director  Business and International Tax","Responsible for Corporation Tax, Capital Gains Tax, Value Added Tax, other consumption taxes and duties, International Tax and Environmental taxes.","Her Majesty's Treasury","HM Treasury","Business and International Tax","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","19678","0","1.00","110000","114999","","Policy","","1"
"24030","Beth Russell","SCS2","Director, Personal Tax, Welfare and pensions Group","Responsible for Personal Tax, Welfare, Labour Market policy, HMRC/DWP Expenditure, Pensions and Savings, and Distributional Analysis.","Her Majesty's Treasury","HM Treasury","Personal Tax, Welfare and Pensions","020 7270 5000","public.enquiries@hmtreasury.gsi.gov.uk","19678","0","1.00","85000","89999","","Policy","","1"
