"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"V1","Penny Ciniewicz","SCS2","Director","Chief Executive","Her Majesty's Revenue and Customs","Valuation Office Agency","Private Office","03000 500 355","costas.vrondis@voa.gsi.gov.uk","XX","347859","1","100000","104999","","Policy","",""
"V10","Steve Hartnell","SCS1","Deputy Director","Director of National and Central Services","Her Majesty's Revenue and Customs","Valuation Office Agency","Direct NCS Management Costs","03000 500 355","costas.vrondis@voa.gsi.gov.uk","V3","3957241","1","75000","79999","","Operational Delivery","",""
"V11","Colin Bailey","SCS1","Deputy Director","Chief Finance Officer","Her Majesty's Revenue and Customs","Valuation Office Agency","Finance, Strategy and Planning (FS&P)","03000 500 355","costas.vrondis@voa.gsi.gov.uk","V1","2081646","1","80000","84999","","Finance","",""
"V2","Philip Macpherson","SCS1","Deputy Director","Chief Information Officer","Her Majesty's Revenue and Customs","Valuation Office Agency","IT and Business Services","03000 500 355","costas.vrondis@voa.gsi.gov.uk","V1","3266585","1","70000","74999","","Information Technology","",""
"V3","Niall Walsh","SCS2","Director","Chief Operating Officer and Chief Valuer","Her Majesty's Revenue and Customs","Valuation Office Agency","Operations","03000 500 355","costas.vrondis@voa.gsi.gov.uk","V1","1353228","1","80000","84999","","Operational Delivery","",""
"V4","Mary Hardman","SCS1","Deputy Director","Operations Director","Her Majesty's Revenue and Customs","Valuation Office Agency","Local Taxation & Housing Allowances","03000 500 355","costas.vrondis@voa.gsi.gov.uk","V3","32034393","1","65000","69999","","Operational Delivery","",""
"V5","David Subacchi","SCS1","Deputy Director","Operations Director","Her Majesty's Revenue and Customs","Valuation Office Agency","Local Taxation & Housing Allowances","03000 500 355","costas.vrondis@voa.gsi.gov.uk","V3","31697269","1","65000","69999","","Operational Delivery","",""
"V6","Timothy Eden","SCS1","Deputy Director","Director of Council Tax and Housing Allowance","Her Majesty's Revenue and Customs","Valuation Office Agency","Council Tax and Housing Allowances","03000 500 355","costas.vrondis@voa.gsi.gov.uk","V3","7039988","1","65000","69999","","Operational Delivery","",""
"V7","Liz Hirst","SCS1","Deputy Director","Director of Commercial Services","Her Majesty's Revenue and Customs","Valuation Office Agency","Commercial Services","03000 500 355","costas.vrondis@voa.gsi.gov.uk","V3","15383749","1","100000","104999","","Operational Delivery","",""
"V8","Paul Sanderson","SCS1","Deputy Director","Director of Professional Services","Her Majesty's Revenue and Customs","Valuation Office Agency","Rating","03000 500 355","costas.vrondis@voa.gsi.gov.uk","V3","2990416","1","80000","84999","","Operational Delivery","",""
"V9","Dyfed Alsop","SCS1","Deputy Director","Director of Strategy, People and Change","Her Majesty's Revenue and Customs","Valuation Office Agency","Strategy, People & Change","03000 500 355","costas.vrondis@voa.gsi.gov.uk","V1","5720781","1","70000","74999","","Human Resources","",""
