"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"A1","Mark Lowcock","SCS4","Permanent Secretary","Permanent Secretary","Department for International Development","DFID","TMG","0845 300 4100","enquiry@dfid.gov.uk","XX","517863","1.00","160000","164999","","Policy","","1"
"A2","Richard Calvert","SCS3","Director General - Finance and Corporate Performance","Responsible for high quality financial & corporate management with focus on results, VfM & Transparency. Delivery of lower cost professional sorporate centre & increrasing shared services with OGDs.","Department for International Development","DFID","TMG","0845 300 4100","enquiry@dfid.gov.uk","A1","1331792","1.00","125000","129999","","Policy","","1"
"A5","Joy Hutcheon","SCS3","Director General - Country Programmes","Supervision of UK Bilateral Aid across 35 developing countries.  Relationship Management at Finance Minister level in key countries.Supervision of UK Emergency Humanitarian responses.","Department for International Development","DFID","TMG","0845 300 4100","enquiry@dfid.gov.uk","A1","433951","1.00","120000","124999","","Policy","","1"
"A7","Nicholas Dyer","SCS3","Director General - Policy and Global Programmes (Acting)","Develop, support and promote policy that assists poverty reduction & achievement of the MDGs. Work closely with the Hed of Research & DFID's research programme, to ensure a strong two way relationship between policy and research.","Department for International Development","DFID","TMG","0845 300 4100","enquiry@dfid.gov.uk","A1","546596","1.00","110000","114999","","Policy","","1"
"A13","Samuel Sharpe","SCS2","Head of DFID-India","Deliver a high quality development programme in India","Department for International Development","DFID","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A42","565236","1.00","100000","104999","","Policy","Salary Costs of Reports Withheld on Security Grounds","1"
"A19","Donal Brown","SCS2","Head of Global Funds Department","Responsibility for east and central Africa including Ethiopia, Kenya and Somalia, Rwanda and Burundi, Sudan, Tanzania and Uganda.","Department for International Development","DFID","Policy & Global","0845 300 4100","enquiry@dfid.gov.uk","A7","326545","1.00","70000","74999","","Policy","","1"
"A20","Christopher Whitty","SCS2","Chief Scientific Advisor / Director Research & Evidence","Chief Scientific Advisor and Director Research 
& Evidence","Department for International Development","DFID","Policy & Global","0845 300 4100","enquiry@dfid.gov.uk","A7","1398903","1.00","0","0","","Policy","","1"
"A21","Elizabeth Ditchburn","SCS2","Director - Policy","Responsible for DFID's financial management, corporate performance and delivery of Change. Improve the value for money achieved by DFID in delivering it's Public Service Agreement.","Department for International Development","DFID","Policy & Global","0845 300 4100","enquiry@dfid.gov.uk","A7","562730","1.00","90000","94999","","Policy","","1"
"A23","Stefan Dercon","SCS2","Chief Economist","Chief Economist","Department for International Development","DFID","Policy & Global","0845 300 4100","enquiry@dfid.gov.uk","A7","1162761","0.80","120000","124999","","Policy","","1"
"A24","Anthony Smith","SCS2","Director - International Relations","Director - International Relations","Department for International Development","DFID","Policy & Global","0845 300 4100","enquiry@dfid.gov.uk","A7","386052","1.00","90000","94999","","Policy","","1"
"A25","Beverley Warmington","SCS2","Director - Asia","Director - Asia","Department for International Development","DFID","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","0","1.00","90000","94999","","Policy","","1"
"A26","Deborah Palmer","SCS2","Head of Overseas Territories Department","Head of Overseas Territories Department","Department for International Development","DFID","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A42","0","1.00","70000","74999","","Policy","","1"
"A27","James Saville","SCS2","Director - Human Resources, Security and Facilities","Director - Human Resources, Security and Facilities","Department for International Development","DFID","Corporate Performance","0845 300 4100","enquiry@dfid.gov.uk","A2","3026138","1.00","105000","109999","","Human Resources","","1"
"A28","Rachel Turner","SCS2","Director - East and Central Africa","Director - East and Central Africa","Department for International Development","DFID","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","858591","1.00","90000","94999","","Policy","","1"
"A29","Shaila Khan Leekha","SCS2","Director - International Finance","Director - International Finance","Department for International Development","DFID","Policy & Global","0845 300 4100","enquiry@dfid.gov.uk","A7","1017716","1.00","95000","99999","","Policy","","1"
"A30","Susanna Moorehead","SCS2","Director - West and Southern Africa","Director - West and Southern Africa","Department for International Development","DFID","Country Programmes","0845 300 4100","enquiry@dfid.gov.uk","A5","639016","1.00","100000","104999","","Policy","","1"
