Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,VAT Included,Invoice Description,Postal Code,Supplier Type,Contract Number,Project Code,Expenditure Type
Crown Prosecution Service,Crown Prosecution Service,04/10/2017,Professional Charges,Corporate,Crimeline Training Ltd Wigan,5058169,"31,436.40",,NC01840168,BL1 2AX,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/10/2017,Crown Court Graduated Fee Scheme,London South,Atkinson Duncan ,1842117,"25,195.58",Y,6501966418,EC4R 2RP,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,04/10/2017,Crown Court Graduated Fee Scheme,London South,Glasgow Oliver ,1842260,"26,221.93",Y,6501962579,EC4Y 7BH,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,04/10/2017,Crown Court Graduated Fee Scheme,South East Area,Knight J ,1842235,"25,285.86",Y,4714970350,EC4Y 9DB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/10/2017,Crown Court Very High Cost Cases,London South,Bates Lesley ,1842300,"26,072.00",Y,6501959545,WC2R 3AS,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,04/10/2017,Crown Court Graduated Fee Scheme,Thames and Chiltern Area,Gibbs Georgina ,1842135,"42,517.79",Y,5121976521,WC1R 4JH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/10/2017,Night Subsistence,Communications Division,Clarity Travel Management,5058174,75.00,,Travel,ST18 0WN,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,04/10/2017,Night Subsistence,Deparmental Security and Information Assurance,Clarity Travel Management,5058174,-124.46,,Travel,ST18 0WN,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,04/10/2017,Night Subsistence,Digital Technology Services,Clarity Travel Management,5058174,933.48,,Travel,ST18 0WN,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,04/10/2017,Night Subsistence,Digital Technology Services,Clarity Travel Management,5058174,433.75,,Travel,ST18 0WN,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,04/10/2017,Night Subsistence,Director/Chief Executive,Clarity Travel Management,5058174,136.66,,Travel,ST18 0WN,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,04/10/2017,Night Subsistence,Estates & Commercial,Clarity Travel Management,5058174,211.63,,Travel,ST18 0WN,Not available,Not available,Not available,
Crown Prosecution Service,Crown Prosecution Service,04/10/2017,Night Subsistence,Finance Directorate,Clarity Travel Management,5058174,551.50,,Travel,ST18 0WN,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,04/10/2017,Night Subsistence,Human Resource Directorate,Clarity Travel Management,5058174,"1,621.60",,Travel,ST18 0WN,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,04/10/2017,Night Subsistence,Operations Directorate,Clarity Travel Management,5058174,694.30,,Travel,ST18 0WN,Not available,Not available,Not available,Administration
