Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,VAT Included,Invoice Description,Postal Code,Supplier Type,Contract Number,Project Code,Expenditure Type
Crown Prosecution Service,Crown Prosecution Service,03/10/2016,Crown Court Graduated Fee Scheme,West Midlands Area,Hankin Jonas ,1715046,"25,296.30",Y,3225799213,B4 6DR,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,03/10/2016,Crown Court Graduated Fee Scheme,Special Crime Division,Howarth Kathryn ,1714778,"31,754.98",Y,7104798234,WC1R 4JH,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,03/10/2016,Contractor/Service (Contract Management) - Global Crossing,Corporate,Level 3 Communications UK Limited,5050688,"87,929.81",,NC01652827,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,03/10/2016,Logica contract,Business Information Sys Dir,CGI IT UK Ltd,5050695,"25,919.81",,Service Catalogue Charges,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/10/2016,Crown Court Graduated Fee Scheme,South West Area,Cowe Mary ,1715191,"26,592.85",Y,5214798328,BS1 2HG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/10/2016,Computer Services,Corporate,Level 3 Communications UK Limited,5050743,"457,441.06",,NC01763913,RG24 8NA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,06/10/2016,Ordinary Witness Expenses,Cymru/Wales Area,Clarity Travel Management,1716140,923.65,,19/09/2016-25/09/2016,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,06/10/2016,Ordinary Witness Expenses,East Midlands Area,Clarity Travel Management,1716140,-659.94,,19/09/2016-25/09/2016,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,06/10/2016,Ordinary Witness Expenses,East of England Area,Clarity Travel Management,1716140,"1,429.67",,19/09/2016-25/09/2016,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,06/10/2016,Ordinary Witness Expenses,London,Clarity Travel Management,1716140,"8,837.51",,19/09/2016-25/09/2016,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,06/10/2016,Ordinary Witness Expenses,Merseyside and Cheshire Area,Clarity Travel Management,1716140,379.95,,19/09/2016-25/09/2016,ST18 0WN,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,06/10/2016,Ordinary Witness Expenses,North East Area,Clarity Travel Management,1716140,"1,821.41",,19/09/2016-25/09/2016,ST18 0WN,Not available,Not available,Not available,Programme
