Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,VAT Included,Invoice Description,Postal Code,Supplier Type,Contract Number,Project Code,Expenditure Type
Crown Prosecution Service,Crown Prosecution Service,02/12/2014,Crown Court Very High Cost Cases,Central Fraud Group,Atkins Richard Paul ,1474128,"29,305.70",Y,7503428650,B2 5LS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,02/12/2014,Other Staff Costs,North West Area,Right Corecare London,5037533,"26,114.22",,NC01397817,EC4N 7BE,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,04/12/2014,Computer Services,Corporate,CGI IT UK Ltd,5037604,"100,784.96",,CCR5280,RG2 6UA,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/12/2014,Crown Court Graduated Fee Scheme,East Midlands Area,Coen Yvonne ,1475555,"30,374.46",Y,3761431532,WC1R 4BU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/12/2014,Transcriptions And Translation,Corporate,AVR Transcription Ltd Bolton,5037637,"110,984.46",,NC01329946,BL6 6HG,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,05/12/2014,Computer Services,Business Information Sys Dir,Midland HR Nottingham,5037640,"29,457.80",,010714-300914,NG11 6LL,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,05/12/2014,Transcriptions And Translation,Corporate,Mendip Media Group Ltd Tiverton,5037641,"52,694.52",,NC01329961,EX2 5AZ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,08/12/2014,Cyclical Maintenance,Corporate,Europa Facilities Management Ltd Manchester,5037698,"1,742.88",,NC01430298,ML1 1RU,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,08/12/2014,Cyclical Maintenance,Corporate,Europa Facilities Management Ltd Manchester,5037698,"4,883.71",,NC01430321,ML1 1RU,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,08/12/2014,Cyclical Maintenance,Corporate,Europa Facilities Management Ltd Manchester,5037698,"30,420.32",,NC01430298,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,08/12/2014,Cyclical Maintenance,Corporate,Europa Facilities Management Ltd Manchester,5037698,"14,651.12",,NC01430321,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,08/12/2014,Facilities Management,Corporate,Europa Facilities Management Ltd Manchester,5037698,"11,245.61",,NC01430321,ML1 1RU,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,08/12/2014,Facilities Management,Corporate,Europa Facilities Management Ltd Manchester,5037698,"2,848.55",,NC01430298,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,08/12/2014,Facilities Management,Corporate,Europa Facilities Management Ltd Manchester,5037698,"33,736.82",,NC01430321,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,08/12/2014,Other Accommodation Costs,Corporate,Europa Facilities Management Ltd Manchester,5037698,"2,062.49",,NC01430298,ML1 1RU,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,08/12/2014,Other Accommodation Costs,Corporate,Europa Facilities Management Ltd Manchester,5037698,"11,578.45",,NC01430321,ML1 1RU,Not available,Not available,Not available,Administration
Crown Prosecution Service,Crown Prosecution Service,08/12/2014,Other Accommodation Costs,Corporate,Europa Facilities Management Ltd Manchester,5037698,"63,767.03",,NC01430298,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,08/12/2014,Other Accommodation Costs,Corporate,Europa Facilities Management Ltd Manchester,5037698,"34,735.37",,NC01430321,ML1 1RU,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,08/12/2014,New Works,Corporate,Skyline Office Interiors Ltd,5037678,"90,977.14",,interim payment,SW1W 0BS,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,10/12/2014,Crown Court Graduated Fee Scheme,North West Area,Usher Neil ,1476642,"30,534.78",Y,2523427333,M3 3BZ,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,10/12/2014,Crown Court Graduated Fee Scheme,East of England Area,Rose Stephen ,1476728,"31,438.98",Y,4344433370,EC4A 3EB,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,10/12/2014,Transcriptions And Translation,Corporate,Wordwave International Ltd,5037743,"41,286.70",,NC01329963,EC4A 2DY,Not available,Not available,Not available,Programme
Crown Prosecution Service,Crown Prosecution Service,11/12/2014,Landlord Service Charge,Corporate,DTZ Debenham Tie Leung,3458472533,"3,308.65",,DTZ FUNDING FOR RENT AND SERVICE CHARGE PAYMENTS,B3 2ED,Not available,Not available,Not available,Administration
